,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
William Samuel Johnson,William Samuel,Johnson,Constitution,yes,1423.0,1,48.0,1,711.0,1,74.0,1,740.0,2,98.0,2
William Samuel Johnson,William Samuel,Johnson,CT,yes,1423.0,1,48.0,1,711.0,1,74.0,1,740.0,2,98.0,2
William Johnson,William,Johnson,NC,yes,1423.0,1,48.0,1,711.0,1,74.0,1,740.0,2,98.0,2
William Johnson,William,Johnson,SC,yes,1423.0,1,48.0,1,711.0,1,74.0,1,740.0,2,98.0,2
John Johnston,John,Johnston,NC,yes,1517.0,3,194.0,3,758.0,3,148.0,3,563.0,2,88.0,2
William Johnston,William,Johnston,NC,yes,1423.0,1,48.0,1,711.0,1,74.0,1,740.0,2,98.0,2
Adam Crain Jones,Adam Crain,Jones,SC,no,48.0,1,42.0,1,24.0,1,21.0,1,0.0,0,0.0,0
John Jones,John,Jones,VA,no,443.0,1,90.0,1,221.0,1,95.0,1,10244.0,1,15.0,1
John Jones,John,Jones,DE,yes,443.0,1,90.0,1,221.0,1,95.0,1,10244.0,1,15.0,1
William Jones,William,Jones,MA,no,565.0,6,400.0,6,282.0,6,248.0,6,712.0,6,322.0,6
Samuel Jones,Samuel,Jones,NY,yes,710.0,8,654.0,8,352.0,8,624.0,8,572.0,5,181.0,5
Thomas Jones,Thomas,Jones,MA,yes,5725.0,39,1054.0,39,3172.0,39,1569.0,39,2866.0,37,350.0,25
Thomas Jones,Thomas,Jones,SC,yes,5725.0,39,1054.0,39,3172.0,39,1569.0,39,2866.0,37,350.0,25
Gabriel Jones,Gabriel,Jones,VA,yes,175.0,1,22.0,1,87.0,1,62.0,1,137.0,1,23.0,1
William Judd,William,Judd,CT,yes,996.0,1,14.0,1,498.0,1,8.0,1,717.0,1,22.0,1
Rufus King,Rufus,King,MA,yes,0.0,0,0.0,0,0.0,0,0.0,0,1568.0,2,112.0,2
Rufus King,Rufus,King,Constitution,yes,0.0,0,0.0,0,0.0,0,0.0,0,1568.0,2,112.0,2
William King,William,King,NC,no,266.0,1,87.0,1,133.0,1,43.0,1,189.0,1,26.0,1
Miles King,Miles,King,VA,yes,1618.0,1,48.0,1,809.0,1,25.0,1,619.0,1,77.0,1
John Langdon,John,Langdon,NH,yes,12396.0,1,79.0,1,6198.0,1,39.0,1,7977.0,1,60.0,1
John Langdon,John,Langdon,Constitution,yes,12396.0,1,79.0,1,6198.0,1,39.0,1,7977.0,1,60.0,1
Henry Laurens,Henry,Laurens,SC,yes,2185.0,9,1032.4133000000002,9,1093.0,9,516.2033,9,2113.0,9,1433.54,9
Richard Law,Richard,Law,CT,yes,1739.0,1,64.0,1,869.0,1,82.0,1,1248.0,1,0.0,0
Amasa Learned,Amasa,Learned,CT,yes,266.0,1,67.0,1,133.0,1,33.0,1,175.0,1,33.0,1
Andrew Lee,Andrew,Lee,CT,yes,1453.0,1,23.0,1,726.0,1,56.0,1,0.0,0,0.0,0
Thomas Sim Lee,Thomas Sim,Lee,MD,yes,579.0,3,213.0,3,289.0,3,156.0,3,458.0,3,122.0,3
Henry Lee,Henry,Lee,VA,no,3672.0,1,81.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Isaac Lee,Isaac,Lee,CT,yes,0.0,0,0.0,0,0.0,0,0.0,0,27.0,1,24.0,1
Henry Lee III,Henry,Lee III,VA,yes,3672.0,1,81.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Nathaniel Leonard,Nathaniel,Leonard,MA,yes,59.0,1,7.0,1,29.0,1,53.0,1,713.0,4,206.0,4
Warner Lewis,Warner,Lewis,VA,yes,0.0,0,0.0,0,0.0,0,0.0,0,170.0,1,17.0,1
Edward Lightwood,Edward,Lightwood,SC,yes,20.0,1,45.0,1,10.0,1,22.0,1,0.0,0,0.0,0
John Carter Littlepage,John Carter,Littlepage,VA,no,191.0,1,0.0,0,95.0,1,50.0,1,97.0,1,80.0,1
Philip Livingston,Philip,Livingston,NY,yes,1200.0,1,0.0,1,600.0,1,0.0,1,0.0,0,0.0,0
