,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
John Boyd,John,Boyd,PA,yes,5700,4,360.0875,4
John Brooks,John,Brooks,MA,yes,8800,13,1774.56382,13
John Brown,John,Brown,NC,no,35600,58,26084.57088,58
John Budd,John,Budd,SC,yes,1800,5,517.49302,5
John Burgess,John,Burgess,SC,no,300,1,23.683329999999998,1
John Burnham,John,Burnham,MA,yes,200,1,28.502779999999998,1
John Calfe,John,Calfe,NH,yes,400,2,42.28889000000001,2
John Carter Littlepage,John Carter,Littlepage,VA,no,4000,5,325.64725,5
John Chandler,John,Chandler,CT,yes,400,2,40.18055,2
John Chester,John,Chester,CT,yes,400,1,33.33889,1
John Cochran,John,Cochran,NH,no,4400,8,2040.73334,8
John Coffin Jones,John Coffin,Jones,MA,yes,10000,40,6239.650899999997,40
John Collins,John,Collins,SC,yes,3300,6,1242.7748700000002,6
John Cook,John,Cook,SC,no,200,1,15.241670000000001,1
John Coulter,John,Coulter,MD,yes,1400,5,130.9,5
John Curtiss,John,Curtiss,CT,yes,1000,4,362.98605999999995,4
John Dabney,John,Dabney,NC,no,4400,3,362.08335999999997,3
"John Davenport, Jun.",John,"Davenport, Jun.",CT,yes,1000,2,428.25278000000003,2
John Davis,John,Davis,MA,yes,134900,196,5778.647147999995,196
John Dickinson,John,Dickinson,Constitution,yes,1800,4,378.12221999999997,4
John Done,John,Done,MD,yes,1600,3,129.15555,3
John Dunlap,John,Dunlap,MA,yes,112100,72,12869.974449000001,72
John Edwards,John,Edwards,SC,yes,6000,10,865.6166700000001,10
John Elliot,John,Elliot,GA,yes,9200,15,3057.1111999999994,15
John Evans,John,Evans,VA,no,23900,48,4113.2810899999995,48
John F. Mercer,John F.,Mercer,Constitution,no,1500,2,165.14580999999998,2
John Fell,John,Fell,NJ,yes,3000,5,1394.2085,5
John Fowler,John,Fowler,VA,no,4200,6,393.15006,6
John Francis Mercer,John Francis,Mercer,MD,no,1500,4,75.30416,4
John Frye,John,Frye,MA,no,900,2,67.71249999999999,2
John Fuller,John,Fuller,MA,no,1000,4,32.180555999999996,4
John G. Scull,John G.,Scull,NC,no,900,3,78.25694,3
John Glover,John,Glover,MA,yes,19100,28,3886.4042499999996,28
John Hall,John,Hall,NC,yes,22100,38,1227.6444499999993,38
John Hamilton,John,Hamilton,MA,no,55300,28,1735.5764000000006,28
