,,,Value,Value
,,,sum,count
Thomas Read,VA,no,124.30000000000001,2
Thomas Reynolds,NJ,yes,718.9399999999999,12
Thomas Rice,MA,yes,594.9399999999999,10
Thomas Russel,MA,yes,223.57999999999998,4
Thomas Scott,PA,yes,209.89999999999998,4
Thomas Smith,VA,yes,2481.5600000000004,46
Thomas Stewart,NC,yes,293.70000000000005,5
Thomas Taylor,SC,no,404.69,7
Thomas Wade,NC,yes,180.6,3
Thomas Williams,NC,no,1153.5399999999997,25
Timothy Fuller,MA,no,17.22,1
Timothy Parker,MA,no,15.6,1
Timothy Taylor,NH,no,2917.5299999999997,5
Walter Smith,MD,yes,53.4,2
William Abbott,NH,yes,124.86999999999999,3
William Brown,PA,no,7825.01,52
William Butler,SC,no,6232.360000000001,19
William C. Houston,Constitution,no,2707.1899999999996,9
William Cushing,MA,yes,80.0,1
William Dunbar,SC,yes,474.92,9
William Fitzpatrick,SC,no,149.0,4
William Fleming,VA,yes,251.63,6
William Hackney,NC,yes,136.98,4
William Hall,DE,yes,1430.4,21
William Harper,NY,no,218.0,5
William Hart,CT,yes,197.35,3
William Hayes,NC,yes,280.75,3
William Heath,MA,yes,299.25,5
William Hill,SC,no,1008.53,18
William Hunt,NH,no,847.51,13
William Johnson,SC,yes,5083.140000000002,43
William Johnston,NC,yes,1052.86,19
William Jones,MA,no,3040.3899999999994,53
William Judd,CT,yes,2446.41,6
William King,NC,no,517.75,9
William L. Pierce,Constitution,no,2683.55,15
William M'Intosh,MA,yes,242.08,3
William Martin,NC,no,6452.610000000001,29
William Mason,VA,yes,628.8000000000001,7
William Mayhew,MA,yes,224.99,3
William Miles,SC,no,26.75,1
William Moore,DE,yes,10470.96,45
William Morris,MD,yes,2913.6800000000003,17
William Noyes,CT,yes,739.5099999999999,9
William Page,NH,no,213.27999999999997,5
William Paterson,Constitution,yes,719.81,16
William Patterson,Constitution,yes,80.0,1
William Phillips,MA,yes,180.0,2
William Pinkney,MD,no,321.1,6
William Porter,NC,yes,2678.94,17
William R. Davie,Constitution,no,180.0,2
William Read,SC,yes,4245.3,10
William Reed,SC,no,831.6800000000001,17
William Richardson,MD,yes,219.5,6
William Richardson Davie,NC,yes,219.5,6
William Robinson,NC,no,495.84000000000003,9
William Samuel Johnson,Constitution,yes,5856.7400000000025,58
William Scott,SC,yes,15801.36,50
William Shaw,MA,yes,451.24,10
William Simpson,NH,yes,712.9499999999999,12
William Smith,SC,yes,6459.650000000004,86
William Stevens,GA,yes,5954.740000000001,17
William Thompson,MA,no,2660.37,15
William Thornton,VA,yes,423.43,6
William Washington,SC,yes,936.0699999999999,2
William Watkins,VA,no,316.8,5
William White,VA,no,4272.54,26
William Williams,CT,yes,3765.590000000001,45
William Wilson,PA,yes,334.70000000000005,7
Williams John,RI,no,6812.950000000002,62
Zachariah Johnston,VA,yes,147.2,1
