,CD name,Loan Office name,state
1760,George Mofatt,George Moffatt,NJ
1761,Wiliam Bryan,William Bryan,NJ
1762,Joseph Young,Joseph Youngs,NJ
1763,James Huston,James Houston,NJ
1764,Isaac Wikoff,Isaac Wilkoff,NJ
1765,Robert Means,Robert Mearns,NJ
1766,Wiliam White,William White,NJ
1767,Thomas Jones,Thomas Johnes,NJ
1768,David Stuart,David Steuart,NJ
1769,Joseph Clarke,Joseph Clark,NJ
1770,John Thompson,John Tompson,NJ
1771,Thomas Reber,Thomas Reuber,NJ
1772,John Herdman,John Herman,NJ
1773,John Brooke,John Brooker,NJ
1774,John Cropper,John Copper,NJ
1775,Jacob Myers,Jacob Meyers,NJ
1777,John Wharton,John Harton,NJ
1778,John Coburn,John Coburne,NJ
1779,John Wilson,John Willson,NJ
1780,John Brown,John Browne,NJ
1781,John Brooke,John Brook,NJ
1782,Mary Porter,Mary Poter,NJ
1783,John Holmes,John Holms,NJ
1784,John Barker,John Baker,NJ
1786,Jonathan B Smith,Jonathan Smith,NJ
1787,John Smith,John Nic Smith,NJ
1788,John Carter,John Carter jr,NJ
1789,Richard E Lee,Richard Lee,NJ
1790,Thomas Mifflin  Ex,Thomas Mifflin,NJ
1791,John L Hunn,John Hunn,NJ
1792,John S Dexter,John Dexter,NJ
1793,Samuel K Bradford,Samuel Bradford,NJ
1794,John R Livingston,John Livingston,NJ
1795,Robert R Randall,Robert Randall,NJ
1796,William Smith,William P Smith,NJ
1797,Henry Livingston,Henry G Livingston,NJ
1798,George Carrington,George Carrington Jr,NJ
1799,William Smith,William O. Smith,NJ
1800,John P Thomas,John Thomas,NJ
1801,William Smith,William D Smith,NJ
1802,Robert C Livingston,Robert Livingston,NJ
1803,John Thompson Mason,John Thompson,NJ
1804,John Brooke,John Tin. Brooke,NJ
1805,Garret John,John Garret,NJ
1806,Abraham Lansing,Abraham A. Lansing,NJ
1807,Thomas O Elliott,Thomas Elliott,NJ
1808,John E Howard,John Howard,NJ
1809,William W Morris,William Morris,NJ
1810,Benjamin Ruffin,Benjamin Ruffin Jr,NJ
1811,John Bleecker,John Jay Bleecker,NJ
1812,John Bleecker,John N. Bleecker,NJ
1813,Philip Schuyler,Philip P Schuyler,NJ
1814,John Jacob Lansing,Jacob Lansing,NJ
2034,Christopher Johnston,Christopher Johnson,PA
2035,John Jacob Lansing,John Jacob Lansingh,PA
2036,John R Livingston,John R. Livingston,PA
2037,Nicholas Roosevelt,Nicholas Rosevelt,PA
2038,Mary Brinkerhoff,Mary Brinckerhoff,PA
2039,Benjamin Johnson,Benjamin Johnston,PA
2041,Nathaniel Steele,Nathaniel Seele,PA
2042,Ebenezer Storer,Ebenzer Storer,PA
2044,Mathew Pearson,Matthew Pearson,PA
2045,Leonard Bronk,Leonard Bronck,PA
2046,John Hamilton,John Hammilton,PA
2047,George Mofatt,George Moffatt,PA
2049,William Price,William Prince,PA
2051,William Crooke,William Crook,PA
2052,John Robinson,John Robbinson,PA
2053,William Hines,William Haines,PA
2054,William Harvey,William Harvy,PA
2055,Thomas Colson,Thomas Colston,PA
2056,Samuel Hayes,Samuel Haynes,PA
2057,Joseph Young,Joseph Youngs,PA
2058,James Wilson,James Willson,PA
2059,Joseph Clarke,Joseph Clark,PA
2061,John Stricker,John Striker,PA
2065,Wiliam Bryan,William Bryan,PA
2066,Thomas Jones,Thomas Johnes,PA
2067,David Stuart,David Steuart,PA
2068,John Herdman,John Herman,PA
2069,David Evans,David Devans,PA
2070,John Wilson,John Willson,PA
2071,John Brown,John Browne,PA
2072,John Craig,John Craige,PA
2073,John Olden,John Golden,PA
2075,James Henry,Henry James,PA
2076,John S Dexter,John Dexter,PA
2078,Garret John,John Garret,PA
2080,Thomas L Moore,Thomas Moore,PA
2081,Jonathan B Smith,Jonathan Smith,PA
2082,Richard M Scott,Richard Scott,PA
2083,Benjamin Ruffin,Benjamin Ruffin Jr,PA
2084,Robert C Livingston,Robert Livingston,PA
2087,John Jacob Lansing,Jacob Lansing,PA
2088,John R Livingston,John Livingston,PA
2089,George Carrington,George Carrington Jr,PA
2090,John R B Rogers,John Rogers,PA
2091,Abraham Lansing,Abraham A. Lansing,PA
2092,Robert R Randall,Robert Randall,PA
2093,Samuel K Bradford,Samuel Bradford,PA
2094,Thomas O Elliott,Thomas Elliott,PA
2097,Philip Schuyler,Philip P Schuyler,PA
2098,Richard E Lee,Richard Lee,PA
2099,John Carter,John Carter jr,PA
2100,John Bleecker,John N. Bleecker,PA
2101,John Bleecker,John Jay Bleecker,PA
2102,William W Morris,William Morris,PA
2103,Henry Livingston,Henry G Livingston,PA
2367,Christopher Johnston,Christopher Johnson,DE
2368,John Jacob Lansing,John Jacob Lansingh,DE
2369,John R Livingston,John R. Livingston,DE
2370,Nicholas Roosevelt,Nicholas Rosevelt,DE
2371,Benjamin Johnson,Benjamin Johnston,DE
2372,Mary Brinkerhoff,Mary Brinckerhoff,DE
2373,Wiliam Alexander,William Alexander,DE
2374,Dietrick Metzner,Detrick Metzner,DE
2375,Nathaniel Steele,Nathaniel Seele,DE
2376,Mathew Pearson,Matthew Pearson,DE
2377,Thomas Thornton,Thomas Thorton,DE
2378,Ebenezer Storer,Ebenzer Storer,DE
2379,William Sherer,William Shearer,DE
2380,William Bingham,William Bigham,DE
2381,Phillip Gardner,Philip Gardner,DE
2382,Nicholas Cruger,Nicolas Cruger,DE
2383,George Mofatt,George Moffatt,DE
2384,William Price,William Prince,DE
2385,William Crooke,William Crook,DE
2386,Thomas Colson,Thomas Colston,DE
2387,John Robinson,John Robbinson,DE
2388,William Harvey,William Harvy,DE
2389,Leonard Bronk,Leonard Bronck,DE
2390,William Rogers,William Roger,DE
2391,James Johnston,James Johnson,DE
2392,William  Sharp,William Sharp,DE
2393,William Brown,William Browne,DE
2394,Helena Bogart,Helenah Bogart,DE
2395,Helena Bogart,Helenat Bogart,DE
2396,William Hines,William Haines,DE
2397,David Stuart,David Steuart,DE
2398,Joseph Clarke,Joseph Clark,DE
2399,John Thompson,John Tompson,DE
2400,Wiliam White,William White,DE
2401,Joseph Young,Joseph Youngs,DE
2402,Thomas Jones,Thomas Johnes,DE
2403,James Huston,James Houston,DE
2404,Robert Means,Robert Mearns,DE
2405,Wiliam Bryan,William Bryan,DE
2406,Thomas Reber,Thomas Reuber,DE
2407,John Brooke,John Brooker,DE
2408,John Herdman,John Herman,DE
2409,John Cropper,John Copper,DE
2410,John Coburn,John Coburne,DE
2411,John Wharton,John Harton,DE
2412,John Wilson,John Willson,DE
2413,John Brooke,John Brook,DE
2414,John Brown,John Browne,DE
2415,John Barker,John Baker,DE
2416,John Holmes,John Holms,DE
2417,Mary Porter,Mary Poter,DE
2418,John Brooke,John Tin. Brooke,DE
2419,James Henry,Henry James,DE
2420,John S Dexter,John Dexter,DE
2422,John Smith,John Nic Smith,DE
2423,Richard M Scott,Richard Scott,DE
2424,Jonathan B Smith,Jonathan Smith,DE
2425,John R Livingston,John Livingston,DE
2426,Benjamin Ruffin,Benjamin Ruffin Jr,DE
2427,William Smith,William O. Smith,DE
2428,Thomas Mifflin  Ex,Thomas Mifflin,DE
2429,Robert C Livingston,Robert Livingston,DE
2430,George Carrington,George Carrington Jr,DE
2431,John Jacob Lansing,Jacob Lansing,DE
2432,John R B Rogers,John Rogers,DE
2433,Robert R Randall,Robert Randall,DE
2434,John L Hunn,John Hunn,DE
2435,William Smith,William P Smith,DE
2436,William Smith,William D Smith,DE
2437,Abraham Lansing,Abraham A. Lansing,DE
2438,John E Howard,John Howard,DE
2439,John P Thomas,John Thomas,DE
2440,Samuel K Bradford,Samuel Bradford,DE
2441,Philip Schuyler,Philip P Schuyler,DE
2442,Henry Livingston,Henry G Livingston,DE
2443,John Bleecker,John N. Bleecker,DE
2444,John Bleecker,John Jay Bleecker,DE
2445,John Carter,John Carter jr,DE
2447,Thomas O Elliott,Thomas Elliott,DE
2448,Richard E Lee,Richard Lee,DE
2722,Christopher Johnston,Christopher Johnson,MD
2723,John Jacob Lansing,John Jacob Lansingh,MD
2724,John R Livingston,John R. Livingston,MD
2725,Nicholas Roosevelt,Nicholas Rosevelt,MD
2726,Benjamin Johnson,Benjamin Johnston,MD
2727,Wiliam Alexander,William Alexander,MD
2728,Mary Brinkerhoff,Mary Brinckerhoff,MD
2729,Nathaniel Steele,Nathaniel Seele,MD
2730,Dietrick Metzner,Detrick Metzner,MD
2731,William Matthews,William Mathews,MD
2732,Mathew Pearson,Matthew Pearson,MD
2733,Phillip Gardner,Philip Gardner,MD
2734,William Miller,William Millner,MD
2735,Thomas Thornton,Thomas Thorton,MD
2736,William Bingham,William Bigham,MD
2737,William Sherer,William Shearer,MD
2738,Nicholas Cruger,Nicolas Cruger,MD
2739,Ebenezer Storer,Ebenzer Storer,MD
2740,Helena Bogart,Helenat Bogart,MD
2741,James Johnston,James Johnson,MD
2742,William Faris,William Farris,MD
2743,Robert Gilmor,Robert Gilmore,MD
2744,William  Sharp,William Sharp,MD
2745,Helena Bogart,Helenah Bogart,MD
2746,William Hines,William Haines,MD
2747,John Robinson,John Robbinson,MD
2748,Thomas Colson,Thomas Colston,MD
2749,John Hamilton,John Hammilton,MD
2750,William Brown,William Browne,MD
2751,William Harvey,William Harvy,MD
2752,William Price,William Prince,MD
2753,Sarah Marshall,Sarah Marshal,MD
2754,Leonard Bronk,Leonard Bronck,MD
2755,William Rogers,William Roger,MD
2756,Samuel Sterett,Samuel Steret,MD
2757,William Crooke,William Crook,MD
2758,Henry Gardiner,Henry Gardner,MD
2759,John Williams,John William,MD
2760,Daniel Clarke,Daniel Clark,MD
2761,Peter Hoffman,Peter Hofman,MD
2762,Wiliam Bryan,William Bryan,MD
2763,Robert Means,Robert Mearns,MD
2764,John Davidson,John Davison,MD
2765,Thomas Waters,Thomas Water,MD
2766,Thomas Beatty,Thomas Beaty,MD
2767,James Huston,James Houston,MD
2768,John Williams,John Wiliams,MD
2769,Thomas Jones,Thomas Johnes,MD
2770,Joseph Clarke,Joseph Clark,MD
2771,Thomas Reber,Thomas Reuber,MD
2772,Joseph Young,Joseph Youngs,MD
2773,Wiliam White,William White,MD
2774,John Thompson,John Tompson,MD
2775,Joshua Howard,Josua Howard,MD
2776,John Brooke,John Brooker,MD
2777,John Herdman,John Herman,MD
2778,John Wharton,John Harton,MD
2779,John Wilson,John Willson,MD
2780,John Cropper,John Copper,MD
2781,John Summers,John Summer,MD
2782,John Coburn,John Coburne,MD
2783,Jacob Walter,Jacob Alter,MD
2784,John Holmes,John Holms,MD
2786,Mary Porter,Mary Poter,MD
2787,John Brooke,John Brook,MD
2788,John Brown,John Browne,MD
2789,John Smith,John Nic Smith,MD
2790,John S Dexter,John Dexter,MD
2791,Garret John,John Garret,MD
2792,Thomas O Elliott,Thomas Elliott,MD
2793,Jonathan B Smith,Jonathan Smith,MD
2794,John Brooke,John Tin. Brooke,MD
2795,Alexander Lawson Smith,Alexander Smith,MD
2796,John Thompson Mason,John Thompson,MD
2797,James Henry,Henry James,MD
2798,Richard M Scott,Richard Scott,MD
2799,William Smith,William D Smith,MD
2800,Thomas Mifflin  Ex,Thomas Mifflin,MD
2801,Robert R Randall,Robert Randall,MD
2802,Abraham Lansing,Abraham A. Lansing,MD
2803,William Smith,William P Smith,MD
2804,George Carrington,George Carrington Jr,MD
2805,John L Hunn,John Hunn,MD
2806,Philip Schuyler,Philip P Schuyler,MD
2807,John Jacob Lansing,Jacob Lansing,MD
2809,John Bleecker,John N. Bleecker,MD
2810,Robert C Livingston,Robert Livingston,MD
2811,William W Morris,William Morris,MD
2812,Henry Livingston,Henry G Livingston,MD
2813,John R Livingston,John Livingston,MD
2814,Sam Smith,Sam S Smith,MD
2815,Samuel Jn Smith,Samuel Smith,MD
2816,John Ashton,John Ashton Jr,MD
2817,John E Howard,John Howard,MD
2818,Samuel K Bradford,Samuel Bradford,MD
2819,William Miller,William F Miller,MD
2821,Benjamin Ruffin,Benjamin Ruffin Jr,MD
2822,William Smith,William O. Smith,MD
2823,John Williams,John Davis Williams,MD
2824,John Williams,John F Williams,MD
2825,John Williams,John M Williams,MD
2827,Richard E Lee,Richard Lee,MD
2828,John Carter,John Carter jr,MD
2829,John Bleecker,John Jay Bleecker,MD
3055,Christopher Johnston,Christopher Johnson,VA
3056,John Jacob Lansing,John Jacob Lansingh,VA
3057,John R Livingston,John R. Livingston,VA
3058,Nicholas Roosevelt,Nicholas Rosevelt,VA
3059,Wiliam Alexander,William Alexander,VA
3060,Mary Brinkerhoff,Mary Brinckerhoff,VA
3061,Nathaniel Steele,Nathaniel Seele,VA
3062,Dietrick Metzner,Detrick Metzner,VA
3063,Thomas Thornton,Thomas Thorton,VA
3064,Ebenezer Storer,Ebenzer Storer,VA
3065,Phillip Gardner,Philip Gardner,VA
3066,William Bingham,William Bigham,VA
3067,Nicholas Cruger,Nicolas Cruger,VA
3068,William Sherer,William Shearer,VA
3069,William Hines,William Haines,VA
3070,William Crooke,William Crook,VA
3071,Helena Bogart,Helenat Bogart,VA
3072,Leonard Bronk,Leonard Bronck,VA
3073,William Rogers,William Roger,VA
3074,Helena Bogart,Helenah Bogart,VA
3075,Michael Burke,Michael Bourke,VA
3076,William Brown,William Browne,VA
3077,William  Sharp,William Sharp,VA
3078,George Mofatt,George Moffatt,VA
3079,John Robinson,John Robbinson,VA
3080,John Hamilton,John Hammilton,VA
3081,James Johnston,James Johnson,VA
3082,David Chambers,David Chamber,VA
3083,William Price,William Prince,VA
3084,David Stuart,David Steuart,VA
3085,James Huston,James Houston,VA
3086,Robert Means,Robert Mearns,VA
3087,Thomas Jones,Thomas Johnes,VA
3088,Thomas Reber,Thomas Reuber,VA
3089,John Thompson,John Tompson,VA
3090,Wiliam White,William White,VA
3091,Joseph Clarke,Joseph Clark,VA
3092,Joseph Young,Joseph Youngs,VA
3093,John Cropper,John Copper,VA
3094,John Brooke,John Brooker,VA
3095,John Herdman,John Herman,VA
3096,John Wilson,John Willson,VA
3097,John Wharton,John Harton,VA
3098,John Coburn,John Coburne,VA
3099,Mary Porter,Mary Poter,VA
3100,John Holmes,John Holms,VA
3101,John Brown,John Browne,VA
3102,John Barker,John Baker,VA
3103,John Brooke,John Brook,VA
3104,Garret John,John Garret,VA
3105,John Brooke,John Tin. Brooke,VA
3106,John Smith,John Nic Smith,VA
3107,John L Hunn,John Hunn,VA
3108,John Jacob Lansing,Jacob Lansing,VA
3109,Henry Livingston,Henry G Livingston,VA
3110,Jonathan B Smith,Jonathan Smith,VA
3111,Robert C Livingston,Robert Livingston,VA
3112,William Smith,William P Smith,VA
3113,Richard M Scott,Richard Scott,VA
3114,Philip Schuyler,Philip P Schuyler,VA
3115,William Smith,William D Smith,VA
3117,James Henry,Henry James,VA
3118,William Smith,William O. Smith,VA
3119,Abraham Lansing,Abraham A. Lansing,VA
3120,John R Livingston,John Livingston,VA
3121,Samuel K Bradford,Samuel Bradford,VA
3122,Robert R Randall,Robert Randall,VA
3123,John R B Rogers,John Rogers,VA
3124,Thomas Mifflin  Ex,Thomas Mifflin,VA
3125,John E Howard,John Howard,VA
3127,John S Dexter,John Dexter,VA
3128,John Bleecker,John Jay Bleecker,VA
3129,John Bleecker,John N. Bleecker,VA
3130,John P Thomas,John Thomas,VA
27,Eliphalet Ladd,Eliphalett Ladd,NH
28,Barnet Akerman,Barnett Akerman,NH
29,George Gains,George Gaines,NH
31,Henry Sherburne transfer from the register of the treasury ,Henry Sherburne,NH
68,Nathaniel Green,Nathaniel Greene,MA
69,Elbridge Gerry,Eldbridge Gerry,MA
70,Michael Hodge,Michael Hodges,MA
71,Samuel White,Samuel Whiten,MA
74,Samuel Tufts,Samuel Tuffts,MA
75,John Coburn,John Colburn,MA
78,Edward Williams,edward p williams,MA
80,Wiliam Bryan,William Bryant,MA
81,John Parker as Gaurdian ,John Parker,MA
84,John Warren Transferred from the Register ,John Warren,MA
86,John Eddy transfer from Register ,John Eddy,MA
183,Jedediah Huntington,Jeddediah Huntington,CT
185,Gurdon Saltonstall,Gurdon Salstonstall,CT
186,Jonathan Trumbull,Jonathan Trumbul,CT
187,William Olmsted,William Olmstead,CT
188,Charles Eldridge,Charles Eldidge,CT
189,Thaddeus Leavitt,Thaddeus Leavit,CT
190,Solomon Wadham,Solomon Wadhams,CT
192,Joseph Buckley,Joseph Buckey,CT
194,John Thompson,John Thomson,CT
195,Joseph Knight,Joseph Night,CT
196,Matthew Sears,Mathew Sears,CT
199,Samuel Huntington III,Samuel Huntington,CT
203,Daniel L Coit,Daniel Coit,CT
204,John Graham,John A Graham,CT
206,John Rogers Transferred from the Register of the Treasury ,John Rogers,CT
207,John Thompson Mason,John Thomson,CT
208,John Laird And Thomas Dick ,John Thomas,CT
209,Matthew Watson from the office of William Imlay Connecticut ,William Watson,CT
283,Abraham Brinkerhoff,Abraham Brinckerhoff,NY
284,William Douglass,William Douglas,NY
285,William Crooke,William Crooker,NY
286,Marinus Willett,Marinu Willett,NY
287,William Parsons,William Parson,NY
288,William Wilson,William Willson,NY
289,Joseph Johnson,Joseph Johnston,NY
290,Stephen Field,Stephen Fields,NY
291,William Barret,William Barre,NY
292,Ralph Phillips,Ralph Philips,NY
293,John Buchanan,John Buchannan,NY
294,Joseph Hallett,Joseph Hallet,NY
297,John Johnson,John Johnston,NY
298,John Robinson,John Robison,NY
301,John Jacob Beekman,Jacob Beekman,NY
303,George Jackson,George H Jackson,NY
304,Abraham Lansing,Abraham G Lansing,NY
307,John Smith,John L Smith,NY
311,Abraham Lansing,Abraham H Lansing,NY
312,Abraham Lansing,Abraham A Lansingh,NY
313,Anthony L Bleecker,Anthony Bleeker,NY
315,John Adams  Trustees of the Sinking Fund,John Adams,NY
316,James Brown Executor Hugh Patton ,James Brown,NY
317,James Brown in Trust for St George Tuker ,James Brown,NY
318,James Johnston John McDowell,James Johnston,NY
319,James Brown in trust,James Brown,NY
320,John Warner transferred from Register ,John Warner,NY
321,Robert Ross Waddell,Robert Ross,NY
322,John N Blecker,John Bleecker,NY
323,Edward Williams,William Edwards,NY
324,John N Blecker,John Becker,NY
325,James Johnston John McDowell,John Johnston,NY
326,Ann Selden  Executors Samuel Selden deceased,Samuel Shelden,NY
385,John Chamberlain,John Chamberlin,NJ
386,William Barret,William Barrett,NJ
387,William Wilson,William Willson,NJ
388,John Johnson,John Johnston,NJ
389,John Thompson,John Thomson,NJ
395,Jonathan Dayton,Jonathan I Dayton,NJ
396,William Smith,William L Smith,NJ
398,Wiliam Bryan,William Bryant,NJ
400,James Brown in Trust for St George Tuker ,George Tuker,NJ
403,Robert Andrews treasuer,Robert Andrews,NJ
406,William Smith,William Lovett Smith,NJ
407,James Johnston John McDowell,John James,NJ
408,James Brown in Trust for St George Tuker ,George Brown,NJ
409,Matthew Watson from the office of William Imlay Connecticut ,William Matthews,NJ
452,William Elliot,William Elliott,PA
453,John Johnson,John Johnston,PA
454,John Lockhart,John Lockart,PA
455,John Lockhart,John Lochart,PA
456,John O'Connor,John Connor,PA
459,James Johnston John McDowell,John Johnston,PA
460,James Moore,James Farncis Moore,PA
461,John Thompson Mason,John Mason,PA
462,Matthew Watson from the office of William Imlay Connecticut ,William Wason,PA
673,Matthew Fitzwater,Mathew Fitzwater,PA
674,Blair McClenahan,Blair McClenachan,PA
675,Matthew McConnell,Mathew McConnell,PA
676,Richard Johnston,Richard Johnson,PA
677,Matthew VanLear,Mathew Vanlear,PA
678,William Edmonds,William Edmond,PA
679,Frederick Antis,Fredrick Antis,PA
680,Diedrick Gaumer,Dedrick Gaumer,PA
681,Gabriel Heister,Gabriel Hester,PA
682,William Cabell,William Cambell,PA
683,George Douglass,George Douglas,PA
684,William Martin,William Martain,PA
685,William Broades,William Broads,PA
686,William Findley,William Finley,PA
687,Jonathan Smith,Jonathn Smith,PA
688,Robert Bridges,Robert Bridge,PA
690,James Campbell,James Cambell,PA
691,William Horner,William Horne,PA
693,Hannah Duton,Hannah Dutton,PA
694,Daniel Snyder,Daniel Snyer,PA
695,John Thompson,John Thomson,PA
696,Thomas Ridley,Thomas Riley,PA
697,George Aston,George Easton,PA
699,John Robinson,John Robison,PA
702,Isaac Craige,Isaac Craig,PA
703,James Heron,James Herron,PA
704,Jacob Frank,Jacob Franks,PA
705,Jacob Winey,Jacob Winney,PA
710,John Creigh,John Reigh,PA
711,John Rhoads,John Roads,PA
714,Thomas Francis,Francis Thomas,PA
715,Jonathan Smith,Jonathan B Smith,PA
720,Henry Huttenstein,Henry Hottenstein,PA
721,Simon Bennett,Simeon Bennet,PA
722,Peter Williams,William Peter,PA
723,Garret John,John Garrett,PA
724,John Rogers Transferred from the Register of the Treasury ,John Rogers,PA
725,John Rogers Transferred from the Register of the Treasury ,John Roger,PA
726,Christopher Ellery transfer ,Christopher Ellery,PA
727,James Morris,James Morris Jones,PA
728,James Johnston John McDowell,James Johnston,PA
729,James Brown Executor Hugh Patton ,James Brown,PA
730,James Brown in trust,James Brown,PA
731,James Brown in Trust for St George Tuker ,James Brown,PA
734,James Mercer for Samuel Seldens Wars ,James Mercer,PA
735,Jonathan B Smith,Jonathn Smith,PA
739,Matthew Watson from the office of William Imlay Connecticut ,William Watson,PA
740,William Smith,William Hooker Smith,PA
741,James Brown in Trust for St George Tuker ,George Brown,PA
742,James Gordon Heron,James Herron,PA
754,James Johnston John McDowell,John James,DE
65,Nathaniel Green,Nathaniel Greene,NH
66,Joshua Brackett,Joshua Bracket,NH
67,Samuel White,Samuel Whiten,NH
70,John Coburn,John Colburn,NH
72,John Lane,John Mc Lane,NH
73,John Lane,John M Lane,NH
74,Edward Williams,edward p williams,NH
88,John Thompson,John Thomson,NH
91,John Graham,John A Graham,NH
169,Abraham Brinkerhoff,Abraham Brinckerhoff,NH
170,William Douglass,William Douglas,NH
171,Joseph Johnson,Joseph Johnston,NH
172,William Wilson,William Willson,NH
173,William Crooke,William Crooker,NH
174,William Parsons,William Parson,NH
175,Marinus Willett,Marinu Willett,NH
176,Joseph Hallett,Joseph Hallet,NH
177,William Barret,William Barre,NH
178,Ralph Phillips,Ralph Philips,NH
179,John Buchanan,John Buchannan,NH
182,John Robinson,John Robison,NH
183,John Johnson,John Johnston,NH
185,John Jacob Beekman,Jacob Beekman,NH
187,Abraham Lansing,Abraham H Lansing,NH
188,Abraham Lansing,Abraham G Lansing,NH
193,John Smith,John L Smith,NH
194,George Jackson,George H Jackson,NH
251,William Barret,William Barrett,NH
257,Jonathan Dayton,Jonathan I Dayton,NH
258,William Smith,William L Smith,NH
338,John Thompson,John Thomson,MA
340,John Graham,John A Graham,MA
422,Abraham Brinkerhoff,Abraham Brinckerhoff,MA
423,William Douglass,William Douglas,MA
424,Marinus Willett,Marinu Willett,MA
425,William Crooke,William Crooker,MA
426,William Parsons,William Parson,MA
427,Joseph Johnson,Joseph Johnston,MA
428,William Wilson,William Willson,MA
429,William Barret,William Barre,MA
430,William Davis,William Davids,MA
431,Ralph Phillips,Ralph Philips,MA
432,John Buchanan,John Buchannan,MA
433,Joseph Hallett,Joseph Hallet,MA
435,John Johnson,John Johnston,MA
436,John Robinson,John Robison,MA
440,John Fisher,John Fishear,MA
441,John Jacob Beekman,Jacob Beekman,MA
443,John Smith,John L Smith,MA
444,George Jackson,George H Jackson,MA
446,Abraham Lansing,Abraham H Lansing,MA
450,Abraham Lansing,Abraham G Lansing,MA
509,William Barret,William Barrett,MA
517,William Smith,William L Smith,MA
518,Jonathan Dayton,Jonathan I Dayton,MA
589,Nathaniel Green,Nathaniel Greene,CT
592,John Humphrey,John Humprey,CT
593,Samuel White,Samuel Whiten,CT
594,John Coburn,John Colburn,CT
598,Edward Williams,edward p williams,CT
600,Samuel P Lord,Samuel Lord,CT
832,Abraham Brinkerhoff,Abraham Brinckerhoff,CT
833,William Douglass,William Douglas,CT
834,William Crooke,William Crooker,CT
835,Marinus Willett,Marinu Willett,CT
836,William Parsons,William Parson,CT
837,William Wilson,William Willson,CT
838,Joseph Johnson,Joseph Johnston,CT
839,Ralph Phillips,Ralph Philips,CT
840,John Buchanan,John Buchannan,CT
841,Joseph Hallett,Joseph Hallet,CT
842,William Barret,William Barre,CT
843,John Johnson,John Johnston,CT
846,John Robinson,John Robison,CT
847,John Humphrey,John Humphry,CT
855,John Smith,John L Smith,CT
857,Abraham Lansing,Abraham H Lansing,CT
858,James Clark,James D Clark,CT
860,Abraham Lansing,Abraham G Lansing,CT
862,John Jacob Beekman,Jacob Beekman,CT
863,William Williams,William Mc Williams,CT
866,John Williams,John Mc Williams,CT
867,George Jackson,George H Jackson,CT
944,William Barret,William Barrett,CT
946,Thomas Edgars,Thomas Edgar,CT
952,William Hart,William D Hart,CT
955,Jonathan Dayton,Jonathan I Dayton,CT
956,William Smith,William L Smith,CT
997,Nathaniel Green,Nathaniel Greene,NY
998,Samuel White,Samuel Whiten,NY
1001,John Coburn,John Colburn,NY
1003,Edward Williams,edward p williams,NY
1015,John Thompson,John Thomson,NY
1017,John Graham,John A Graham,NY
1176,William Barret,William Barrett,NY
1183,Jonathan Dayton,Jonathan I Dayton,NY
1185,William Smith,William L Smith,NY
1223,Nathaniel Green,Nathaniel Greene,NJ
1224,Samuel White,Samuel Whiten,NJ
1227,John Coburn,John Colburn,NJ
1229,Edward Williams,edward p williams,NJ
1243,John Graham,John A Graham,NJ
1320,Abraham Brinkerhoff,Abraham Brinckerhoff,NJ
1321,William Douglass,William Douglas,NJ
1322,William Parsons,William Parson,NJ
1323,Joseph Johnson,Joseph Johnston,NJ
1324,Marinus Willett,Marinu Willett,NJ
1325,William Crooke,William Crooker,NJ
1327,Ralph Phillips,Ralph Philips,NJ
1328,John Buchanan,John Buchannan,NJ
1329,William Barret,William Barre,NJ
1330,Joseph Hallett,Joseph Hallet,NJ
1333,John Robinson,John Robison,NJ
1338,John Smith,John L Smith,NJ
1339,Abraham Lansing,Abraham G Lansing,NJ
1340,George Jackson,George H Jackson,NJ
1341,John Jacob Beekman,Jacob Beekman,NJ
1343,Abraham Lansing,Abraham H Lansing,NJ
1471,Nathaniel Green,Nathaniel Greene,PA
1472,Samuel White,Samuel Whiten,PA
1475,John Coburn,John Colburn,PA
1476,John Story,John Storey,PA
1478,John Olden,John Holden,PA
1479,Edward Williams,edward p williams,PA
1501,John Graham,John A Graham,PA
1601,Abraham Brinkerhoff,Abraham Brinckerhoff,PA
1602,William Douglass,William Douglas,PA
1603,Marinus Willett,Marinu Willett,PA
1604,William Parsons,William Parson,PA
1605,William Crooke,William Crooker,PA
1606,William Wilson,William Willson,PA
1607,Joseph Johnson,Joseph Johnston,PA
1608,William Barret,William Barre,PA
1609,Abraham Mosser,Abraham Osser,PA
1610,William Hayes,William Haynes,PA
1611,Ralph Phillips,Ralph Philips,PA
1612,John Buchanan,John Buchannan,PA
1613,Joseph Hallett,Joseph Hallet,PA
1623,John Creigh,John Creig,PA
1627,John West,John Van West,PA
1628,John Smith,John L Smith,PA
1629,George Jackson,George H Jackson,PA
1630,John Jacob Beekman,Jacob Beekman,PA
1632,Abraham Lansing,Abraham H Lansing,PA
1633,Abraham Lansing,Abraham G Lansing,PA
1718,William Barret,William Barrett,PA
1720,James Davidson,James Davison,PA
1728,David Jones,David Johnes,PA
1729,James Irvine,James Irvin,PA
1735,Jonathan Dayton,Jonathan I Dayton,PA
1736,William Smith,William L Smith,PA
1865,Peter Williams,Peter William,PA
1866,James Morris,James Morriss,PA
1951,Nathaniel Green,Nathaniel Greene,DE
1952,Samuel White,Samuel Whiten,DE
1955,John Coburn,John Colburn,DE
1957,Edward Williams,edward p williams,DE
1969,John Thompson,John Thomson,DE
1971,John Graham,John A Graham,DE
2045,Abraham Brinkerhoff,Abraham Brinckerhoff,DE
2046,William Douglass,William Douglas,DE
2047,William Wilson,William Willson,DE
