,Delegates,Loan Matches,Scores
1986,Richard Hutson,Richard Hutson,100.0
378,Richard Law,Richard Law,100.0
932,Richard Potts,Richard Potts,100.0
443,Richard Smith,Richard Smith,100.0
952,Richard Thomas,Richard Thomas,100.0
917,Robert Alexander,Alexander M  Robert,95.0
1462,Robert Andrews,Robert Andrews,100.0
3251,Robert Barnwell,Robert Barnwell,100.0
5791,Robert Daniel,Robert Daniel and  Guilian Crommelin,90.0
5111,Robert Montgomery,Robert Montgomery,100.0
241,Robert Morris,Robert Morris,100.0
4480,Robert Patton,Robert Patton,100.0
3410,Robert R. Livingston,Robert Livingston,95.0
3409,Robert R. Livingston,Robert R Livingston,97.43589743589743
3219,Robert Rutherford,Robert Rutherford,100.0
2647,Robert Whitehill,Robert Whitehill,100.0
1403,Robert Williams,Robert Williams,100.0
362,Roger Newberry,Roger Newberry,100.0
41,Roger Sherman,Roger Sherman,100.0
46,Roger Sherman,Roger Sherman ,100.0
157,Rufus King,Rufus King,100.0
1197,Samuel  Richardson,Samuel Richardson,97.14285714285714
1987,Samuel Adams,Samuel Adams III,95.0
2520,Samuel Ashmead,Samuel Ashmead,100.0
763,Samuel Beach,Samuel Beach,100.0
305,Samuel Canfield,Samuel Canfield,100.0
588,Samuel Carver,Samuel Carver,100.0
1428,Samuel Eddy,Samuel Eddy,100.0
559,Samuel H. Parsons,Samuel Parsons,95.0
81,Samuel Hay,Samuel Hay,100.0
1215,"Samuel Hopkins, Jun.",Samuel Hopkins,95.0
344,Samuel Huntington,Samuel Huntington III,95.0
2337,Samuel Johnston,Samuel  Johnston,96.7741935483871
4079,Samuel Johnston,Samuel H Johnson,90.3225806451613
4078,Samuel Johnston,Samuel M Johnson,90.3225806451613
4077,Samuel Johnston,Samuel W Johnson,90.3225806451613
8856,Samuel Johnston,Samuel W Johnson ,90.3225806451613
3345,Samuel Jones,Samuel Jones,100.0
3499,Samuel Jones,Samuel Jones and Co,90.0
3531,Samuel Smith,Samuel John Smith,95.0
2967,Samuel Smith,Samuel Smith,100.0
3262,Samuel Warren,Samuel Warren,100.0
306,Samuel Whiting,Samuel Whiteing,96.55172413793103
307,Samuel Whiting,Samuel Whiteing ,96.55172413793103
2746,Samuel Young,Samuel Young,100.0
2542,Sebastian Graff,Sebastian Graff,100.0
521,Simeon Smith,Simeon Smith,100.0
1252,Solomon Shepherd,Solomon Shepherd,100.0
3366,Stephen Smith,Stephen Smith,100.0
316,Thaddeus Burr,Thaddeus Burr,100.0
1232,Thomas Allen,Thomas Allen,100.0
5134,Thomas Banks,Thomas Banks,100.0
1707,Thomas Blount,Thomas Blount,100.0
2218,Thomas Brown,Thomas Browne,96.0
1819,Thomas Bull,Mich and Thomas Bull,90.0
1818,Thomas Bull,Michael and Thomas Bull,90.0
3725,Thomas Bull,Micheal and Thomas Bull,90.0
1729,Thomas Bull,Thomas Bull,100.0
3173,Thomas Davis,Thomas Davis,100.0
2034,Thomas Dawes,Thomas Dawes,100.0
1211,Thomas Durfee,Thomas Durfee,100.0
1489,Thomas Edmunds,Thomas  Edmunds,96.55172413793103
160,Thomas FitzSimons; Fitzsimmons,Nicholas Fitzsimons,85.5
193,Thomas FitzSimons; Fitzsimmons,Thomas Fitzsimons,90.0
154,Thomas Fitzsimons,Thomas Fitzsimons,100.0
8249,Thomas H. Perkins,Thomas H Perkins,96.96969696969697
2321,Thomas H. Perkins,Thomas Perkins,95.0
3280,Thomas Horry,Thomas Horry,100.0
4067,Thomas Jones,Thomas Jones,100.0
3301,Thomas P. Williams,Thomas Williams,95.0
1455,Thomas Pierce,Thomas Pierce,100.0
925,Thomas Read,Thomas Read,100.0
1889,Thomas Russel,Thomas Russell,96.29629629629629
3176,Thomas Screven,Thomas Screven,100.0
811,Thomas Sim Lee,Thomas Lee,95.0
2054,Thomas Smith,Thomas Smith,100.0
5649,Thomas Stewart,Thomas Stewart,100.0
2308,Thomas Taylor,Thomas Taylor,100.0
3259,Thomas Williams,Thomas Williams,100.0
1304,Warner Lewis,Warner Lewis,100.0
2111,Waterman Andrew,Andrew Waterman,95.0
405,Wheeler Coit,Wheeler Coit,100.0
2659,William  Findley,William Findley,96.7741935483871
77,William Blount,William Blount,100.0
1917,William Brown,William  Brown,96.29629629629629
3848,William Brown,William Brown,100.0
190,William C. Houston,William Houston,95.0
892,William Cabell,William Cabell,100.0
54,William Crawford ,William Crawford,100.0
2365,William Cushing,William Cushing,100.0
1124,William Darke,William Darke,100.0
387,"William Deakins, Jun.",William Deakins,95.0
3915,William Elliot,William Elliot,100.0
3916,William Elliot,William Elliott,96.55172413793103
71,William Few,William Few,100.0
908,William Fleming,William Fleming,100.0
2668,William Gowdy,William Gowdey,96.29629629629629
920,William Gray Jun.,William Gray,95.0
380,William Hall,William  Hall ,96.0
192,William Hall,William Hall,100.0
580,William Hart,William Hart,100.0
967,William Harwood,William Harwood,100.0
5686,William Hayes,William Hayes,100.0
3026,William Hill,William Hill,100.0
9264,William Houston,William  Houston ,96.7741935483871
9263,William Houston,William Houston,100.0
91,William Houstoun,William  Houston ,93.75
90,William Houstoun,William Houston,96.7741935483871
5440,William Johnson,William Johnson,100.0
8064,William Johnston,William Johnson,96.7741935483871
2389,William Jones,William Jones,100.0
275,William Judd,William Judd,100.0
3752,William King,William King,100.0
5291,William Martin,William Martin,100.0
8038,William Martin,William Martine,96.55172413793103
758,William Mason,William Mason,100.0
1106,William Mason,William Matson,96.29629629629629
1345,William McKee,William McKee,100.0
50,William Moore,William Moore,100.0
776,William Morris,William Morris,100.0
1629,William Morris,William W Morris,95.0
3867,William N. Hill,William Hill,95.0
398,William Noyes,William Noyes,100.0
106,William Paterson,William Patterson,96.96969696969697
205,William Patterson,William Patterson,100.0
1703,William Peachy,William Peachy,100.0
1989,William Phillips,William Phillips,100.0
5522,William Porter,William Porter,100.0
214,William R. Davie,William Davies,86.66666666666667
1974,William Read,William Read,100.0
868,William Richardson,William Richardson,100.0
5247,William Richardson Davie,William Richardson,95.0
4629,William Robinson,William J Robinson,95.0
4110,William Robinson,William Robinson,100.0
8936,William Robinson,Williiam J Robinson,91.42857142857143
3761,William Robison,William J Robinson,90.9090909090909
3369,William Robison,William Robinson,96.7741935483871
7226,William Robison,Williiam J Robinson,88.23529411764706
0,William Samuel Johnson,William Johnson,95.0
1991,William Scott,William Scott,100.0
5012,William Simpson,Jonathan and William Simpson,90.0
3367,William Smith,William  Smith,96.29629629629629
1643,William Smith,William S Smith,95.0
2631,William Smith,William Smith,100.0
3128,William Smith,William Smith Stevens,90.0
219,William Stevens,William Smith Stevens,95.0
2182,William Thompson,William Thompson,100.0
1478,William Thornton,William Thornton,100.0
2049,William Washington,William Washington,100.0
1668,William White,William White,100.0
529,William Williams,William Williams,100.0
2126,William Wilson,William Wilson,100.0
7504,Williams John,John  Williams ,95.0
3481,Williams John,John Williams,95.0
3482,Williams John,William St John,92.85714285714286
1096,Wilson Cary Nicolas,Wilson Cary,90.0
