,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
112,Hezekiah Brainard,Hezekiah,Brainard,CT,yes,400,1,30.97778,1,400.3441975555556,1.0
113,Howard Jonathan J,Howard,Jonathan J,RI,no,1100,2,88.79444,2,1100.986604888889,0.0
114,Hugh White,Hugh,White,SC,no,3300,6,267.00834,6,3302.9667593333334,0.0
115,Ichabod Warner,Ichabod,Warner,CT,yes,8300,27,2058.1277959999998,27,8322.868086622222,1.0
116,Isaac Clarke,Isaac,Clarke,NC,no,2100,5,651.7445100000001,5,2107.2416056666666,0.0
117,Isaac Cooper,Isaac,Cooper,DE,yes,1700,3,182.49027,3,1702.0276696666667,1.0
118,Isaac Foot,Isaac,Foot,CT,yes,600,1,351.4417,1,603.9049077777778,1.0
119,Isaac Lee,Isaac,Lee,CT,yes,400,2,88.36111000000001,2,400.98179011111114,1.0
120,Isaac Perkins,Isaac,Perkins,MD,yes,2600,9,238.29999999999995,9,2602.6477777777777,1.0
121,Isaac Roosevelt,Isaac,Roosevelt,NY,yes,12000,12,9711.73612,12,12107.908179111111,1.0
122,Isaac Thompson,Isaac,Thompson,MA,yes,500,1,40.88194,1,500.4542437777778,1.0
123,Israel Clark,Israel,Clark,MA,yes,300,1,26.48333,1,300.2942592222222,1.0
124,Jabez Fitch,Jabez,Fitch,CT,yes,300,1,27.695829999999997,1,300.30773144444447,1.0
125,Jacob Broom,Jacob,Broom,Constitution,yes,300,1,23.60833,1,300.26231477777776,1.0
126,Jacob Green,Jacob,Green,NH,no,1200,2,32.233340000000005,2,1200.3581482222223,0.0
127,Jacob Johnston,Jacob,Johnston,NC,yes,3100,6,590.52217,6,3106.5613574444446,1.0
128,Jacob Rinker,Jacob,Rinker,VA,yes,500,1,37.74306,1,500.41936733333335,1.0
129,Jacob Weed,Jacob,Weed,GA,yes,2400,4,209.175,4,2402.3241666666668,1.0
130,Jacob Willard,Jacob,Willard,MA,no,1100,4,636.3805,4,1107.0708944444445,0.0
131,James Anderson,James,Anderson,NC,yes,1800,4,98.86945,4,1801.0985494444444,1.0
132,James Armstrong,James,Armstrong,NC,yes,3200,4,150.904176,4,3201.6767130666667,1.0
133,James Black,James,Black,DE,yes,7900,9,616.08887,9,7906.845431888889,1.0
134,James Campbell,James,Campbell,PA,did not vote,12200,7,544.4028500000001,7,12206.048920555555,0.0
135,James Carr,James,Carr,MA,no,500,1,30.46667,1,500.33851855555554,0.0
136,James Craig,James,Craig,SC,no,20300,25,10048.400020000001,25,20411.64888911111,0.0
137,James G. Hunt,James G.,Hunt,SC,no,1700,4,385.29588,4,1704.2810653333333,0.0
138,James Gordon,James,Gordon,VA,yes,4500,7,880.4333899999999,7,4509.782593222222,1.0
139,James Gordon Heron,James Gordon,Heron,MD,yes,4500,7,880.4333899999999,7,4509.782593222222,1.0
140,James Johnson,James,Johnson,VA,yes,4300,5,264.90835,5,4302.943426111111,1.0
141,James Marshall,James,Marshall,PA,no,2500,4,197.83195,4,2502.1981327777776,0.0
142,James Martin,James,Martin,MD,yes,4100,5,155.11112,5,4101.723456888889,1.0
143,James Maxwell,James,Maxwell,GA,yes,5000,9,445.01388999999995,9,5004.944598777778,1.0
144,James McClurg,James,McClurg,Constitution,no,1000,1,208.3472,1,1002.3149688888889,0.0
145,James Montgomery,James,Montgomery,VA,no,1100,2,83.03473,2,1100.922608111111,0.0
146,James Moore,James,Moore,NC,no,1400,4,282.06114,4,1403.1340126666666,0.0
147,James Morris,James,Morris,PA,yes,2600,5,338.66111,5,2603.7629012222224,1.0
148,James Porter,James,Porter,NC,no,4400,9,199.84166,9,4402.2204628888885,0.0
149,James Potter,James,Potter,CT,yes,5000,11,949.2778600000001,11,5010.547531777778,1.0
150,James Stewart,James,Stewart,SC,yes,1700,4,113.99028,4,1701.2665586666667,1.0
151,James Taylor,James,Taylor,VA,yes,6100,4,532.93333,4,6105.921481444444,1.0
152,James Thomas,James,Thomas,RI,no,2300,2,187.36113,2,2302.081790333333,0.0
153,James Thompson,James,Thompson,NC,no,96400,95,4422.530561400008,95,96449.13922846,0.0
154,James Upshaw,James,Upshaw,VA,no,1300,4,119.63611,4,1301.329290111111,0.0
155,James White,James,White,NC,yes,1800,5,369.02783000000005,5,1804.1003092222222,1.0
156,James Williams,James,Williams,MA,no,3400,10,380.0875,10,3404.2231944444443,0.0
157,James Wilson,James,Wilson,Constitution,yes,10200,19,5813.99862,19,10264.599984666667,1.0
158,Jasper Yeates,Jasper,Yeates,PA,yes,1300,4,126.29861,4,1301.403317888889,1.0
159,Jedediah Huntington,Jedediah,Huntington,CT,yes,25400,40,12860.934778999997,40,25542.899275322223,1.0
160,Jeremiah Fogg,Jeremiah,Fogg,NH,yes,1900,5,1355.38889,5,1915.0598765555555,1.0
161,Jeremiah Halsey,Jeremiah,Halsey,CT,yes,10900,9,4376.311110000001,9,10948.625679,1.0
162,Jeremiah Ripley,Jeremiah,Ripley,CT,yes,800,2,472.9556,2,805.2550622222223,1.0
163,Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,303300,369,35498.52977999993,369,303694.4281086667,1.0
164,Jesse Hand,Jesse,Hand,NJ,yes,11600,9,520.86113,9,11605.787345888888,1.0
165,Jesse Johnson,Jesse,Johnson,NH,yes,3900,8,326.59443999999996,8,3903.628827111111,1.0
166,John  Allen,John ,Allen,VA,yes,13900,16,884.794326,16,13909.831048066666,1.0
167,John  Fox,John, Fox,MA,yes,18400,32,4401.06109,32,18448.900678777776,1.0
168,John A. Campbell,John A.,Campbell,NC,no,23300,43,2137.01101,43,23323.74456677778,0.0
169,John Allen,John,Allen,NC,yes,13900,16,884.794326,16,13909.831048066666,1.0
170,John Allison,John,Allison,PA,yes,200,1,9.85,1,200.10944444444445,1.0
171,John Anderson,John,Anderson,NC,yes,2300,4,518.63611,4,2305.7626234444447,1.0
172,John Arndt,John,Arndt,PA,yes,1100,3,105.52083,3,1101.1724536666666,1.0
173,John Ashley,John,Ashley,MA,yes,7600,6,1231.2000400000002,6,7613.680000444445,1.0
174,John Baird,John,Baird,PA,no,2600,5,1605.1027000000001,5,2617.8344744444444,0.0
175,John Baker,John,Baker,NC,yes,32700,51,7787.109810000005,51,32786.52344233333,1.0
176,John Barclay,John,Barclay,PA,yes,5200,4,2293.5111399999996,4,5225.483457111111,1.0
