,Original Name,Search Names,6p_Total,6p_def_Total,3p_Total,Name Count,Family Size 1,Family Size 2,Location 1,Location 2,Match Reason 1,Match Reason 2,Match Status 1,Match Status 2,Slavecount 1,Slavecount 2,url 1,url 2
801,{'David Crane'},['David Crane'],0.0,0.0,146.0,1,4,,"Hoosick, Albany, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Crane&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
802,{'Philip Garlogh'},['Philip Garlogh'],0.0,0.0,146.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Garlogh&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
803,{'William Ten Brook'},['William Ten Brook'],0.0,0.0,145.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William Ten_Brook&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
804,{'Alexander Bleecker'},['Alexander Bleecker'],0.0,0.0,144.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alexander_Bleecker&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
805,{'Archibald Curie'},['Archibald Curie'],0.0,0.0,144.0,1,7,,"New York City Dock Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Archibald_Curie&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
806,{'Charles Bush'},['Charles Bush'],0.0,0.0,143.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Bush&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
807,{'B Jn A Chevallier'},['B Jn A Chevallier'],0.0,0.0,142.0,1,,, New York,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=B Jn A_Chevallier&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
808,{'Abraham Lyon'},['Abraham Lyon'],0.0,0.0,140.0,1,9,,"Woodstock, Ulster, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham_Lyon&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
809,{'Ashbel Stoddard'},['Ashbel Stoddard'],0.0,0.0,138.0,1,4,,"Hudson, Columbia, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Ashbel_Stoddard&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
810,{'John Williams'},['John Williams'],0.0,0.0,137.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Williams&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
811,{'George Reed'},['George Reed'],0.0,0.0,132.0,1,3,,"Watervliet, Albany, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
