,index,city,county,state,country,population
277,277,Hampton,Windham,Connecticut,USA ,201
278,278,Tarboro,Edgecombe,North Carolina,USA ,NR
279,279,Fayetteville,Cumberland,North Carolina,USA ,276
280,280,Montgomery,Lycoming,Pennsylvania,USA ,NR
281,281,Clinton,Dutchess,New York,USA ,697
282,282,Roxbury,Litchfield,Connecticut,USA ,NR
283,283,Leicester,Worcester,Massachusetts,USA ,170
284,284,Springhill,Fayette,Pennsylvania,USA ,256
285,285,York Borough,York,Pennsylvania,USA ,384
286,286,Westfield,Richmond,New York,USA ,NR
287,287,Alexandria,Grafton,New Hampshire,USA ,24248
288,288,Radnor,Delaware,Pennsylvania,USA ,NR
289,289,Roxbury,Suffolk,Massachusetts,USA ,353
290,290,Hancock,Berkshire,Massachusetts,USA ,190
291,291,Somerset,Bristol,Massachusetts,USA ,189
292,292,Chambersburg,Franklin,Pennsylvania,USA ,NR
293,293,Bladensburg,Prince Georges,Maryland,USA ,NR
294,294,East Whiteland,Chester,Pennsylvania,USA ,76
295,295,Salem,Washington,New York,USA ,395
296,296,Danbury,Fairfield,Connecticut,USA ,563
297,297,Pittsfield,Berkshire,Massachusetts,USA ,312
298,298,Balls Town,Albany,New York,USA ,NR
299,299,Brook Haven,Suffolk,New York,USA ,NR
300,300,Simsbury,Hartford,Connecticut,USA ,424
301,301,Mamakating,Ulster,New York,USA ,NR
302,302,Grafton,Worcester,Massachusetts,USA ,136
303,303,Granby,Hampshire,Massachusetts,USA ,100
304,304,Gilmantown,Strafford,New Hampshire,USA ,NR
305,305,Nottingham,Rockingham,New Hampshire,USA ,178
306,306,Brentwood,Rockingham,New Hampshire,USA ,NR
307,307,Caughnawaga,Montgomery,New York,USA ,NR
308,308,Madbury,Strafford,New Hampshire,USA ,98
309,309,Bethlehem,Northampton,Pennsylvania,USA ,160
310,310,Enfield,Hartford,Connecticut,USA ,318
311,311,Deerfield,Rockingham,New Hampshire,USA ,299
312,312,Ashton,Delaware,Pennsylvania,USA ,75
313,313,Portsmouth,Newport,Rhode Island,USA ,243
314,314,Woodstock,Windsor,Vermont,USA ,268
315,315,Westmoreland City,Westmoreland,Pennsylvania,USA ,NR
316,316,West Marlborough,Chester,Pennsylvania,USA ,121
317,317,Pomfret,Windham,Connecticut,USA ,246
318,318,Brooklyn,Kings,New York,USA ,NR
319,319,Kingston,Rockingham,New Hampshire,USA ,167
320,320,East Haven,New Haven,Connecticut,USA ,169
321,321,Castleton,Rutland,Vermont,USA ,140
322,322,Sturbridge,Worcester,Massachusetts,USA ,266
323,323,Albany,Albany,New York,USA ,573
324,324,Salisbury,Hillsborough,New Hampshire,USA ,NR
325,325,New Rochelle,Westchester,New York,USA ,109
326,326,Hurley,Ulster,New York,USA ,104
327,327,Kensington,Philadelphia,Pennsylvania,USA ,NR
328,328,Franklin,Westmoreland,Pennsylvania,USA ,141
329,329,York,Westchester,New York,USA ,NR
330,330,Concord,Delaware,Pennsylvania,USA ,108
331,331,Brooklyn,Windham,Connecticut,USA ,NR
332,332,Cortlandt,Westchester,New York,USA ,334
333,333,Dorchester,Dorchester,South Carolina,USA ,NR
334,334,Frederickstown,Dutchess,New York,USA ,NR
335,335,Merrimack,Hillsborough,New Hampshire,USA ,NR
336,336,Northeast,Dutchess,New York,USA ,NR
337,337,Easton,Northampton,Pennsylvania,USA ,134
338,338,Dauphin,Dauphin,Pennsylvania,USA ,NR
339,339,Candia,Rockingham,New Hampshire,USA ,167
340,340,Half Moon,Albany,New York,USA ,NR
341,341,Longmeadow,Hampden,Massachusetts,USA ,NR
342,342,Warrinton,York,Pennsylvania,USA ,263
343,343,Fairley,Orange,Vermont,USA ,80
344,344,South Hampton,Rockingham,New Hampshire,USA ,73
345,345,South Susquehannah Hundred,Cecil,Maryland,USA ,174
346,346,Orange,Orange,New York,USA ,NR
347,347,Bridgewater,Plymouth,Massachusetts,USA ,829
348,348,Granby,Hartford,Connecticut,USA ,489
349,349,New Kensington,Westmoreland,Pennsylvania,USA ,NR
350,350,Hempfield,Lancaster,Pennsylvania,USA ,272
351,351,Pikeland,Chester,Pennsylvania,USA ,142
352,352,Prince Georges,Georgetown,South Carolina,USA ,NR
353,353,Kinderhook,Columbia,New York,USA ,697
354,354,Ridgefield,Fairfield,Connecticut,USA ,352
355,355,Upper Saucon,Northampton,Pennsylvania,USA ,145
356,356,Pembroke,Hillsborough,New Hampshire,USA ,NR
357,357,East Freetown,Bristol,Massachusetts,USA ,NR
358,358,Watertown,Litchfield,Connecticut,USA ,577
359,359,Johnstown,Providence,Rhode Island,USA ,NR
360,360,Flushing,Queens,New York,USA ,NR
361,361,West Whiteland,Chester,Pennsylvania,USA ,72
362,362,Yonkers,Westchester,New York,USA ,152
363,363,South Huntington,Westmoreland,Pennsylvania,USA ,534
364,364,Richmond,Washington,Rhode Island,USA ,290
365,365,Barnard,Windsor,Vermont,USA ,132
366,366,East Caln,Chester,Pennsylvania,USA ,108
367,367,Glocester,Providence,Rhode Island,USA ,621
368,368,Maxatany,Berks,Pennsylvania,USA ,177
369,369,Rye,Westchester,New York,USA ,162
