,full name,state,state debt,Same State Loan Office,Different State Loan Office,Same State Liquidated Debt,Different State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SSLD Total,DSLD Total,PC Total,Debt Total,tot_pre1790_certs
1314,['John Wheeler'],CT,CT,['John Wheeler'],,,['John Wheeler'],['John Wheeler'],141.11,141.11944,0.0,0.0,80.0,55.68,276.79944,3
1315,['John White'],PA,PA,['John White'],['John White'],['John White'],['John White'],['John White'],117.77,7243.8125,2668.4639,2.8666666666666667,2724.7,2105.72,14745.563066666668,5
1316,['John Whitman'],CT,CT,,,,,"['John Whiteman', 'John Whitman']",300.0,0.0,0.0,0.0,0.0,251.98,251.98,1
1317,['John Whitman'],PA,PA,,,,,"['John Whiteman', 'John Whitman']",20.27,0.0,0.0,0.0,0.0,715.14,715.14,1
1318,['John Williams'],CT,CT,"['John Wiliams', 'John Williams']","['John William', 'John Wiliams', 'John Williams', 'John M Williams', 'John Davis Williams', 'John F Williams']",['John Williams'],"['John Williams', 'John Mc Williams', 'john williams']","['John Williams', 'John 2d Williams']",1822.51,836.83332,8730.81671,1.2444444444444445,1851.2111111111112,321.42,11741.525585555555,5
1319,['John Williams'],MD,MD,"['John Wiliams', 'John Williams']","['John William', 'John Wiliams', 'John Williams', 'John M Williams', 'John Davis Williams', 'John F Williams']",['John Williams'],"['John Williams', 'John Mc Williams', 'john williams']","['John Williams', 'John 2d Williams']",283.33,200.61248999999998,9367.03754,0.0,1851.2111111111112,859.41,12278.27114111111,5
1320,['John Williamson'],SC,SC,,,,,,222.36,0.0,0.0,0.0,0.0,0.0,0.0,0
1321,['John Willson'],CT,CT,"['John Willson', 'John Wilson']",['John Wilson'],,['John Willson'],"['John Willson', 'John Wilson']",1074.55,1747.5221940000001,393.20969,0.0,636.8444444444444,2885.04,5662.616328444445,4
1322,['John Wilson'],SC,SC,"['John Willson', 'John Wilson']","['John Willson', 'John Wilson']","['John Willson', 'John Wilson']",['John Willson'],"['John 2d Wilson', 'John Willson', 'John Wilson']",207.22,0.0,2140.731884,0.0,636.8444444444444,2709.9500000000003,5487.5263284444445,5
1323,['John Woddrop'],SC,SC,,,,,,3151.49,0.0,0.0,0.0,0.0,0.0,0.0,0
1324,['John Wood'],CT,CT,,['John Wood'],,['John Wood'],['John Wood'],643.04,0.0,1448.48053,0.0,614.6888888888889,5.3,2068.469418888889,3
1325,['John Woodhull'],NJ,PA,['John Woodhull'],['John Woodhull'],,,,1050.58,2550.28877,1224.0278,0.0,0.0,0.0,3774.31657,2
1326,['John Worthington'],RI,RI,,,,,,658.53,0.0,0.0,0.0,0.0,0.0,0.0,0
1327,"['Jon Starr', 'Jacob Starr']",CT,CT,,,,,,28.62,0.0,0.0,0.0,0.0,0.0,0.0,0
1328,['Jonas Clapham'],MD,MD,,,,,,2687.81,0.0,0.0,0.0,0.0,0.0,0.0,0
1329,['Jonas Elkin'],SC,SC,,,,,,19.01,0.0,0.0,0.0,0.0,0.0,0.0,0
1330,['Jonas Simonds'],PA,PA,,,,,['Jonas Simonds'],2754.66,0.0,0.0,0.0,0.0,379.26,379.26,1
1331,['Jonathan Barber'],CT,CT,,,,,,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1332,['Jonathan Bull'],CT,CT,['Jonathan Bull'],,,,,282.92,12.172222,0.0,0.0,0.0,0.0,12.172222,1
1333,['Jonathan Cass'],NH,NH,,,['Jonathan Cass'],['Jonathan Cass'],['Jonathan Cass'],851.33,0.0,0.0,48.955555555555556,48.955555555555556,2755.39,2853.301111111111,3
1334,['Jonathan Dean'],RI,RI,,,,,,297.26,0.0,0.0,0.0,0.0,0.0,0.0,0
1335,['Jonathan Dwight'],MA,CT,,,,,,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1336,['Jonathan Edwards'],CT,CT,['Jonathan Edwards'],,,,['Jonathan Edwards'],3216.71,321.4,0.0,0.0,0.0,176.77,498.16999999999996,2
1337,['Jonathan Enos'],CT,CT,,,,,,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0
