,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,,,
James Bowdoin,James,Bowdoin,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Card Bowen,Card,Bowen,RI,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bowen,Jonathan,Bowen,NJ,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fielder Bowie,Fielder,Bowie,MD,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Bowie,John,Bowie,SC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Bowman,Robert,Bowman,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Bowman,John,Bowman,SC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,404.75,4.0
John Boyd,John,Boyd,PA,yes,5700.0,4.0,360.0875,4.0,96.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2121.0299999999997,12.0
Jacob Bradbury,Jacob,Bradbury,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,86.97999999999999,3.0
James Bradford,James,Bradford,CT,yes,0.0,0.0,0.0,0.0,30.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,2637.71,7.0
Jesse Bradley,Jesse,Bradley,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philip Burr Bradley,Philip Burr,Bradley,CT,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,240.32,2.0
Hezekiah Brainard,Hezekiah,Brainard,CT,yes,400.0,1.0,30.97778,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Brandon,Thomas,Brandon,SC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
