,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
Daniel Bedee,Daniel,Bedee,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,0.0,0.0,0.0,0.0,667.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,0.0,0.0,0.0,0.0,667.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,0.0,0.0,0.0,0.0,667.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Thomas Bee,Thomas,Bee,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Bell,David,Bell,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Bell,Benjamin,Bell,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Bell,Malachi,Bell,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Edmond Bellinger,Edmond,Bellinger,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Bellows,Benjamin,Bellows,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
John M. Benford,John M.,Benford,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Arnold Benjamin,Arnold,Benjamin,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Arnold Benjamin,Arnold,Benjamin,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Remington Benjamin,Remington,Benjamin,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth Benjamin,Bosworth,Benjamin,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Bourne Benjamin,Bourne,Benjamin,RI,yes,41.0,1.0,43.0,1.0,20.0,1.0,71.0,1.0,36.0,1.0,43.0,1.0,,,,,,,,,,,,
Peter Bennett,Peter,Bennett,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Lamuel Benton,Lamuel,Benton,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Benton,Samuel,Benton,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
George H. Berger,George H.,Berger,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
William Bethell,William,Bethell,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
James Bettan,James,Bettan,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Betts,Comstock,Betts,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
David Bigelow,David,Bigelow,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Bigelow,Abraham,Bigelow,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Billings,Stephen,Billings,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Bisbee,Elisha,Bisbee,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Phan. Bishop,Phan.,Bishop,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Bishop,John,Bishop,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Bixby,Thomas,Bixby,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bixby,Daniel,Bixby,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
John Black,John,Black,PA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,4.0,158.0,4.0,,,,,,,,,,,,
John Black,John,Black,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,4.0,158.0,4.0,,,,,,,,,,,,
James Black,James,Black,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Blair,John,Blair,NC,yes,25632.0,48.0,1992.0,48.0,5388.0,48.0,2076.0,48.0,10448.0,48.0,2048.0,32.0,20340.0,8.0,404.0,8.0,10168.0,8.0,404.0,8.0,15256.0,8.0,204.0,8.0
Timothy Blair,Timothy,Blair,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Blair,John,Blair,Constitution,yes,25632.0,48.0,1992.0,48.0,5388.0,48.0,2076.0,48.0,10448.0,48.0,2048.0,32.0,20340.0,8.0,404.0,8.0,10168.0,8.0,404.0,8.0,15256.0,8.0,204.0,8.0
"John Blair, Jun.",John,"Blair, Jun.",VA,yes,25632.0,48.0,1992.0,48.0,5388.0,48.0,2076.0,48.0,10448.0,48.0,2048.0,32.0,20340.0,8.0,404.0,8.0,10168.0,8.0,404.0,8.0,15256.0,8.0,204.0,8.0
Edward Blake,Edward,Blake,SC,yes,2738.0,1.0,49.0,1.0,1369.0,1.0,25.0,1.0,1476.0,1.0,34.0,1.0,6580.0,3.0,2.2200000000002547,3.0,3289.0,3.0,2.1000000000001364,3.0,4935.0,3.0,1.6300000000002228,3.0
John Blake,John,Blake,SC,yes,,,,,,,,,,,,,1027.0,1.0,0.9200000000000728,1.0,513.0,1.0,0.9600000000000364,1.0,770.0,1.0,0.92999999999995,1.0
Joseph Blanchard,Joseph,Blanchard,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Theodorick Bland,Theodorick,Bland,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Blaney,Benjamin,Blaney,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Bloodworth,Timothy,Bloodworth,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Edmund Blount,Edmund,Blount,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John G. Blount,John G.,Blount,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Blount,Thomas,Blount,NC,yes,254.0,1.0,73.0,1.0,127.0,1.0,36.0,1.0,179.0,1.0,20.0,1.0,,,,,,,,,,,,
William Blount,William,Blount,Constitution,yes,,,,,,,,,,,,,61.0,1.0,492.66,1.0,61.0,1.0,246.32,1.0,61.0,1.0,369.49,1.0
William Blount,William,Blount,NC,yes,,,,,,,,,,,,,61.0,1.0,492.66,1.0,61.0,1.0,246.32,1.0,61.0,1.0,369.49,1.0
Benjamin Blout,Benjamin,Blout,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
W. Bodman,W.,Bodman,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Bonds,John,Bonds,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benj. Bonney,Benj.,Bonney,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Edmund Booker,Edmund,Booker,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Absalom Bostwick,Absalom,Bostwick,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Lewis Bourquin,John Lewis,Bourquin,SC,no,345.0,1.0,50.0,1.0,172.0,1.0,75.0,1.0,248.0,1.0,76.0,1.0,,,,,,,,,,,,
James Bowdoin,James,Bowdoin,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Bowen,Jonathan,Bowen,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Card Bowen,Card,Bowen,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Fielder Bowie,Fielder,Bowie,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Bowie,John,Bowie,SC,no,,,,,,,,,,,,,2691.0,1.0,0.6799999999998363,1.0,1345.0,1.0,0.8399999999999181,1.0,2018.0,1.0,0.75,1.0
John Bowman,John,Bowman,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bowman,Robert,Bowman,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Boyd,John,Boyd,PA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,89.0,1.0,,,,,,,,,,,,
Jacob Bradbury,Jacob,Bradbury,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Bradford,James,Bradford,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Bradley,Jesse,Bradley,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Philip Burr Bradley,Philip Burr,Bradley,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hezekiah Brainard,Hezekiah,Brainard,CT,yes,3710.0,4.0,252.0,4.0,1854.0,4.0,226.0,4.0,5664.0,4.0,256.0,4.0,694.0,1.0,73.0,1.0,347.0,1.0,36.0,1.0,521.0,1.0,6.0,1.0
Thomas Brandon,Thomas,Brandon,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Breading,Nicholas,Breading,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
David Brearley,David,Brearley,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
