,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
Wilson Cary Nicolas,Wilson Cary,Nicolas,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Niles,Samuel,Niles,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Richard Nixon,Richard,Nixon,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Matthewson Noah,Matthewson,Noah,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Zenas Noble,Zenas,Noble,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Marmaduke Norfleet,Marmaduke,Norfleet,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Noyes,William,Noyes,CT,yes,25340.0,8.0,296.0,8.0,12668.0,8.0,352.0,8.0,7500.0,8.0,728.0,8.0,31200.0,48.0,2808.0,48.0,15576.0,48.0,3828.0,48.0,29552.0,48.0,2208.0,48.0
Daniel Noyes,Daniel,Noyes,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Nye,Thomas,Nye,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Nyre,Samuel,Nyre,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Ogden,Robert,Ogden,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Henry Oothoudt,Henry,Oothoudt,NY,no,,,,,,,,,,,,,,,,,,,,,,,,
Azor Orne,Azor,Orne,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Adam Orth,Adam,Orth,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Orton,Samuel,Orton,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Osborn,Samuel,Osborn,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Henry Osborne,Henry,Osborne,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Adlai Osborne,Adlai,Osborne,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Peter Osgood,Peter,Osgood,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Outlaw,Alexander,Outlaw,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Overton,John,Overton,NC,yes,3602.0,2.0,2.0,2.0,1800.0,2.0,102.0,2.0,1117.0,2.0,60.0,2.0,,,,,,,,,,,,
Thomas Owen,Thomas,Owen,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Paca,William,Paca,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Page,William,Page,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
David Page,David,Page,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Pain,Stephen,Pain,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Seth Paine,Seth,Paine,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Barnabas Palmer,Barnabas,Palmer,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Palmer,Joseph,Palmer,MA,yes,441.0,1.0,79.0,1.0,220.0,1.0,90.0,1.0,441.0,1.0,90.0,1.0,,,,,,,,,,,,
John Palmer,John,Palmer,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,64.0,1.0,,,,,,,,,,,,
"Stephen Pankey, Jun.",Stephen,"Pankey, Jun.",VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Mawney Pardon,Mawney,Pardon,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Parker,Timothy,Parker,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Abel Parker,Abel,Parker,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Ichabod Parker,Ichabod,Parker,NY,no,,,,,,,,,,,,,,,,,,,,,,,,
George Parker,George,Parker,VA,yes,33.0,1.0,33.0,1.0,16.0,1.0,67.0,1.0,31.0,1.0,67.0,1.0,,,,,,,,,,,,
Isaac Parker,Isaac,Parker,SC,yes,685.0,1.0,77.0,1.0,342.0,1.0,88.0,1.0,810.0,1.0,0.0,0.0,145.0,1.0,0.6899999999999977,1.0,72.0,1.0,0.8400000000000034,1.0,109.0,1.0,0.2600000000000051,1.0
John Parker,John,Parker,SC,yes,1602.0,5.0,134.0,5.0,799.0,5.0,271.0,5.0,7947.0,11.0,685.0,11.0,3344.0,11.0,57.63777777777773,11.0,2299.0,11.0,237.30888888888887,11.0,9209.5675,11.0,292.96333333333314,10.0
A. Parlin,A.,Parlin,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Parnham,John,Parnham,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel H. Parsons,Samuel H.,Parsons,CT,yes,,,,,,,,,,,,,1903.0,1.0,0.8800000000001091,1.0,951.0,1.0,0.9400000000000546,1.0,1427.0,1.0,0.900000000000091,1.0
Theophilus Parsons,Theophilus,Parsons,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
G. Partridge,G.,Partridge,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Paterson,William,Paterson,Constitution,yes,8900.0,4.0,160.0,4.0,2016.0,4.0,213.0,5.0,4518.0,5.0,106.0,5.0,10216.0,1.0,84.0,1.0,5108.0,1.0,42.0,1.0,7662.0,1.0,64.0,1.0
Mat. Patrick,Mat.,Patrick,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Willis Patten,Willis,Patten,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Patterson,Isaac,Patterson,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Patterson,Matthew,Patterson,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Patteson,Jonathan,Patteson,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
David Patteson,David,Patteson,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Charles Patteson,Charles,Patteson,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Patton,Robert,Patton,SC,no,21990.0,6.0,292.0,6.0,10992.0,6.0,448.0,6.0,2473.0,2.0,33.0,2.0,13113.0,27.0,1026.0,27.0,6552.0,27.0,963.0,27.0,9828.0,27.0,1440.0,27.0
Pawling Pawling,Pawling,Pawling,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Payne,Elisha,Payne,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Payne,Robert,Payne,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Payson,George,Payson,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Phillips Payson,Phillips,Payson,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Peachy,William,Peachy,VA,yes,430.0,4.0,276.0,4.0,214.0,4.0,240.0,4.0,0.0,0.0,0.0,0.0,47.0,1.0,11.0,1.0,23.0,1.0,56.0,1.0,35.0,1.0,33.0,1.0
James Pearsall,James,Pearsall,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
W. Pearson,W.,Pearson,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Abiel Pease,Abiel,Pease,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
"Zebulon Peck, Jun.",Zebulon,"Peck, Jun.",CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Peckham,Samuel,Peckham,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Pedan,Benjamin,Pedan,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Peebles,Robert,Peebles,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Peete,Samuel,Peete,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Ebenezer Peirce,Ebenezer,Peirce,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Clarke Peleg,Clarke,Peleg,RI,yes,633.0,1.0,34.0,1.0,316.0,1.0,66.0,1.0,379.0,1.0,0.0,0.0,,,,,,,,,,,,
Edmund Pendleton,Edmund,Pendleton,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Henry Pendleton,Henry,Pendleton,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Penniman,Thomas,Penniman,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Pepper,Isaac,Pepper,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Perkins,Daniel,Perkins,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Perkins,Isaac,Perkins,MD,yes,158.0,1.0,20.0,1.0,79.0,1.0,9.0,1.0,111.0,1.0,11.0,1.0,,,,,,,,,,,,
Thomas H. Perkins,Thomas H.,Perkins,NC,no,,,,,,,,,,,,,62.0,1.0,11.63,1.0,62.0,1.0,5.81,1.0,62.0,1.0,8.72,1.0
Samuel Perley,Samuel,Perley,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Perrin,Timothy,Perrin,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Perry,Benjamin,Perry,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Person,Thomas,Person,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Stone Peter,Stone,Peter,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Barker Peter,Barker,Peter,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Michael Peters,Michael,Peters,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Pettigrew,James,Pettigrew,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Peyre,John,Peyre,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Charles Phelps,Charles,Phelps,CT,yes,829.0,1.0,33.0,1.0,414.0,1.0,67.0,1.0,743.0,1.0,5.0,1.0,,,,,,,,,,,,
Noah Phelps,Noah,Phelps,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
John Phelps,John,Phelps,CT,yes,1200.0,1.0,0.0,0.0,600.0,1.0,0.0,0.0,324.0,1.0,0.0,0.0,,,,,,,,,,,,
Caleb Phifer,Caleb,Phifer,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
William Phillips,William,Phillips,MA,yes,,,,,,,,,,,,,176.0,1.0,61.0,1.0,88.0,1.0,30.0,1.0,132.0,1.0,45.0,1.0
Abram Phillips,Abram,Phillips,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Etheldred Phillips,Etheldred,Phillips,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Pickering,John,Pickering,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Pickering,Timothy,Pickering,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
J. Picket,J.,Picket,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Martin Pickett,Martin,Pickett,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William L. Pierce,William L.,Pierce,Constitution,no,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Pierce,Thomas,Pierce,VA,did not vote,400.0,4.0,128.0,4.0,2858.0,4.0,68.0,4.0,1888.0,4.0,266.0,4.0,592.0,1.0,2.0,1.0,296.0,1.0,1.0,1.0,444.0,1.0,2.0,1.0
Charles Cotesworth Pinckney,Charles Cotesworth,Pinckney,Constitution,yes,,,,,,,,,,,,,,,,,,,,,,,,
Charles Cotesworth Pinckney,Charles Cotesworth,Pinckney,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Charles Pinckney,Charles,Pinckney,Constitution,yes,,,,,,,,,,,,,4829.0,1.0,0.02999999999974534,1.0,2414.0,1.0,0.5100000000002183,1.0,3621.0,1.0,0.7600000000002183,1.0
Charles Pinckney,Charles,Pinckney,SC,yes,,,,,,,,,,,,,4829.0,1.0,0.02999999999974534,1.0,2414.0,1.0,0.5100000000002183,1.0,3621.0,1.0,0.7600000000002183,1.0
William Pinkney,William,Pinkney,MD,no,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Pitkin,Elisha,Pitkin,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
J. Pitts,J.,Pitts,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
George Plater,George,Plater,MD,yes,,,,,,,,,,,,,127.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,95.0,1.0,91.0,1.0
Zephaniah Platt,Zephaniah,Platt,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
J. Pleroe,J.,Pleroe,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
L. Pomeroy,L.,Pomeroy,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Pomeroy,Joshua,Pomeroy,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Porter,Joshua,Porter,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Porter,Elisha,Porter,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Porter,James,Porter,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
William Porter,William,Porter,NC,yes,15990.0,10.0,542.0,10.0,7992.0,10.0,577.0,10.0,21.0,1.0,15.0,1.0,,,,,,,,,,,,
Benjamin Postell,Benjamin,Postell,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
William Postell,William,Postell,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Postell,John,Postell,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Potter,James,Potter,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Potter,David,Potter,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Richard Potts,Richard,Potts,MD,yes,8402.0,2.0,28.0,2.0,3828.0,2.0,155.0,2.0,11593.0,3.0,133.0,3.0,,,,,,,,,,,,
Levin Powell,Levin,Powell,VA,yes,158.0,1.0,10.0,1.0,79.0,1.0,6.0,1.0,84.0,1.0,11.0,1.0,599.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,449.0,1.0,38.0,1.0
James Powell,James,Powell,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Powell,Joseph,Powell,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
Asa Powers,Asa,Powers,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Pratt,John,Pratt,MA,no,1843.0,1.0,71.0,1.0,921.0,1.0,85.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Aaron Pratt,Aaron,Pratt,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Esaias Preble,Esaias,Preble,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Henry Prescutt,Henry,Prescutt,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Halcott B. Pride,Halcott B.,Pride,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
John Pride,John,Pride,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Mark Prindle,Mark,Prindle,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Julius Pringle,John Julius,Pringle,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Prunty,John,Prunty,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Francis Pugh,Francis,Pugh,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Edward Pulling,Edward,Pulling,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Putman,Daniel,Putman,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
William Pynchon,William,Pynchon,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Peter Qualls,Peter,Qualls,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Ramsay,David,Ramsay,SC,yes,,,,,,,,,,,,,2046.0,1.0,0.8399999999999181,1.0,1023.0,1.0,0.4199999999999591,1.0,1535.0,1.0,0.13000000000010914,1.0
John Ramsay,John,Ramsay,NC,yes,,,,,,,,,,,,,31.0,1.0,93.0,1.0,15.0,1.0,96.0,1.0,23.0,1.0,94.0,1.0
Jonathan Randall,Jonathan,Randall,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Randall,Benjamin,Randall,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Edmund J. Randolph,Edmund J.,Randolph,Constitution,no,,,,,,,,,,,,,,,,,,,,,,,,
Edmund Randolph,Edmund,Randolph,VA,yes,,,,,,,,,,,,,6517.0,1.0,51.0,1.0,3258.0,1.0,76.0,1.0,4888.0,1.0,14.0,1.0
Thomas Stow Ranney,Thomas Stow,Ranney,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Val. Rathburn,Val.,Rathburn,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Moses Rawlings,Moses,Rawlings,MD,yes,8256.0,12.0,72.0,12.0,4128.0,12.0,30.0,12.0,4272.0,12.0,788.0,12.0,,,,,,,,,,,,
Sands Ray,Sands,Ray,RI,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
"Joshua  Raymond, Jun.",Joshua ,"Raymond, Jun.",CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Read,Thomas,Read,VA,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,1.0,33.0,1.0,,,,,,,,,,,,
George Read,George,Read,Constitution,yes,767.0,1.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
William Read,William,Read,SC,yes,5954.0,4.0,54.0,4.0,2976.0,4.0,130.0,4.0,7696.0,4.0,108.0,4.0,,,,,,,,,,,,
Jesse Reed,Jesse,Reed,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Reed,William,Reed,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Reed,Samuel,Reed,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Remmele,John,Remmele,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Reynolds,Thomas,Reynolds,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Reynolds,John,Reynolds,PA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Rhea,John,Rhea,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joel Rice,Joel,Rice,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
David Rice,David,Rice,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Rice,Thomas,Rice,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Richards,John,Richards,PA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,144.0,2.0,182.0,2.0,3639.0,2.0,91.0,2.0
William Richardson,William,Richardson,MD,yes,1052.0,8.0,120.0,8.0,524.0,8.0,260.0,8.0,1028.0,8.0,328.0,8.0,1384.0,8.0,416.0,8.0,692.0,8.0,208.0,8.0,1036.0,8.0,508.0,8.0
M. Richardson,M.,Richardson,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel  Richardson,Samuel ,Richardson,VA,no,1363.0,1.0,33.0,1.0,681.0,1.0,67.0,1.0,368.0,1.0,10.0,1.0,216.0,1.0,48.0,1.0,108.0,1.0,24.0,1.0,162.0,1.0,35.0,1.0
Joseph Richardson,Joseph,Richardson,MD,yes,,,,,,,,,,,,,,,,,,,,,,,,
Holt Richeson,Holt,Richeson,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Sylvester Richmond,Sylvester,Richmond,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Riddick,Joseph,Riddick,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Willis Riddick,Willis,Riddick,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Ridgely,Nicholas,Ridgely,DE,yes,,,,,,,,,,,,,,,,,,,,,,,,
Charles Ridgely,Charles,Ridgely,MD,no,,,,,,,,,,,,,,,,,,,,,,,,
William Righton,William,Righton,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Rinker,Jacob,Rinker,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiah Ripley,Jeremiah,Ripley,CT,yes,320.0,1.0,37.0,1.0,160.0,1.0,18.0,1.0,404.0,1.0,45.0,1.0,1831.0,1.0,86.0,1.0,915.0,1.0,94.0,1.0,1373.0,1.0,90.0,1.0
John Roane,John,Roane,VA,did not vote,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Robbins,Nathaniel,Robbins,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Robbins,Robert,Robbins,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Roberts,Jonathan,Roberts,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Robertson,Alexander,Robertson,VA,no,,,,,,,,,,,,,4774.0,1.0,27.0,1.0,529.0,1.0,82.0,1.0,794.0,1.0,74.0,1.0
Christopher Robertson,Christopher,Robertson,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
William Robinson,William,Robinson,NC,no,183.0,1.0,49.0,1.0,91.0,1.0,74.0,1.0,190.0,1.0,40.0,1.0,1105.0,2.0,165.0,2.0,552.0,2.0,133.0,2.0,829.0,2.0,99.0,2.0
William Robison,William,Robison,SC,yes,183.0,1.0,49.0,1.0,91.0,1.0,74.0,1.0,190.0,1.0,40.0,1.0,1105.0,2.0,165.0,2.0,552.0,2.0,133.0,2.0,829.0,2.0,99.0,2.0
Daniel Rodgers,Daniel,Rodgers,MA,yes,0.0,0.0,0.0,0.0,204.0,1.0,67.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Nathaniel Rogers,Nathaniel,Rogers,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hezekiah Rogers,Hezekiah,Rogers,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Ronald Ronald,William Ronald,Ronald,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Roosevelt,Isaac,Roosevelt,NY,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10465.0,2.0,111.0,2.0,,,,,,,,,,,,
Jesse Root,Jesse,Root,CT,yes,2556.0,48.0,1800.0,36.0,1260.0,48.0,2712.0,48.0,2208.0,48.0,2384.0,48.0,,,,,,,,,,,,
Ephraim Root,Ephraim,Root,CT,yes,,,,,,,,,,,,,722.0,2.0,104.0,2.0,641.0,2.0,130.0,2.0,542.0,2.0,30.0,2.0
Edmund Ruffin,Edmund,Ruffin,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Rumph,Jacob,Rumph,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Runnels,Daniel,Runnels,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Rush,Benjamin,Rush,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Russel,Thomas,Russel,MA,yes,2733.0,2.0,24.0,1.0,1366.0,2.0,61.0,1.0,2010.0,1.0,0.0,0.0,,,,,,,,,,,,
Nathaniel Russell,Nathaniel,Russell,SC,yes,98493.0,45.0,7023.9033,45.0,49233.0,45.0,4901.9533,45.0,72942.0,45.0,5527.67,45.0,17584.0,1.0,0.8100000000013097,1.0,8792.0,1.0,0.3999999999996362,1.0,13188.0,1.0,0.6000000000003638,1.0
Robert Rutherford,Robert,Rutherford,SC,no,72.0,1.0,15.0,1.0,36.0,1.0,8.0,1.0,50.0,1.0,51.0,1.0,,,,,,,,,,,,
John Rutherford,John,Rutherford,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Hugh Rutledge,Hugh,Rutledge,SC,yes,,,,,,,,,,,,,180.0,1.0,0.5600000000000023,1.0,90.0,1.0,0.269999999999996,1.0,135.0,1.0,0.4099999999999966,1.0
Edward Rutledge,Edward,Rutledge,SC,yes,,,,,,,,,,,,,591.0,1.0,0.67999999999995,1.0,295.0,1.0,0.839999999999975,1.0,443.0,1.0,0.7599999999999909,1.0
John Rutledge,John,Rutledge,Constitution,yes,,,,,,,,,,,,,579.0,1.0,0.2799999999999727,1.0,289.0,1.0,0.6299999999999955,1.0,434.0,1.0,0.44999999999998863,1.0
John Rutledge,John,Rutledge,SC,yes,,,,,,,,,,,,,579.0,1.0,0.2799999999999727,1.0,289.0,1.0,0.6299999999999955,1.0,434.0,1.0,0.44999999999998863,1.0
Gozen Ryerss,Gozen,Ryerss,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Sampson,William,Sampson,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Allen Samuel,Allen,Samuel,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Pearce Samuel,Pearce,Samuel,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Potter Samuel J,Potter,Samuel J,RI,no,20.0,1.0,60.0,1.0,10.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Brittain Sanders,Brittain,Sanders,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Lemuel Sandford,Lemuel,Sandford,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Lott W. Sarls,Lott W.,Sarls,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
Roger Parker Saunders,Roger Parker,Saunders,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Sawin,Benjamin,Sawin,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Obadiah Sawtell,Obadiah,Sawtell,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Enos Sawyer,Enos,Sawyer,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Enoch Sawyer,Enoch,Sawyer,NC,yes,832.0,1.0,35.0,1.0,416.0,1.0,18.0,1.0,475.0,1.0,33.0,1.0,,,,,,,,,,,,
Joshua Saxon,Joshua,Saxon,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Saxon,Samuel,Saxon,SC,no,,,,,,,,,,,,,,,,,,,,,,,,
Newman Scarlet,Newman,Scarlet,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Schenck,John,Schenck,NY,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,10.0,1.0,,,,,,,,,,,,
Cornelius C. Schoonmaker,Cornelius C.,Schoonmaker,NY,no,,,,,,,,,,,,,,,,,,,,,,,,
John Scott,John,Scott,NC,no,237.0,1.0,70.0,1.0,118.0,1.0,85.0,1.0,0.0,0.0,0.0,0.0,97.0,1.0,74.0,1.0,48.0,1.0,87.0,1.0,73.0,1.0,30.0,1.0
William Scott,William,Scott,SC,yes,492.0,4.0,114.0,4.0,244.0,4.0,258.0,4.0,60.0,4.0,120.0,4.0,3790.0,1.0,0.40000000000009095,1.0,1895.0,1.0,0.19000000000005457,1.0,2842.0,1.0,0.7899999999999636,1.0
Thomas Scott,Thomas,Scott,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Screven,Thomas,Screven,SC,yes,,,,,,,,,,,,,662.0,2.0,1.0400000000000205,2.0,331.0,2.0,0.5000000000000142,2.0,497.0,2.0,0.2599999999999909,2.0
Henry Scudder,Henry,Scudder,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,
John G. Scull,John G.,Scull,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
James Seagrove,James,Seagrove,GA,yes,,,,,,,,,,,,,,,,,,,,,,,,
