,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,county,name_type,6p_total
124,263.0,16.0,131.0,58.0,161.0,4.0,Norwich,CT,,New London County,town,263.16
125,666.0,67.0,333.0,33.0,180.0,,Norwich,CT,,New London County,town,666.67
126,424.0,81.0,212.0,41.0,305.0,86.0,Norwich,CT,,New London County,town,424.81
127,62.0,13.0,31.0,6.0,16.0,76.0,Wethersfield,CT,,Hartford County,town,62.13
128,186.0,11.0,93.0,5.0,50.0,24.0,Wethersfield,CT,,Hartford County,town,186.11
129,38.0,63.0,19.0,31.0,,,Wethersfield,CT,,Hartford County,town,38.63
130,200.0,,100.0,,221.0,50.0,Windsor,CT,,Hartford County,town,
131,37.0,84.0,18.0,93.0,27.0,24.0,Huntington,CT,,Fairfield County,town,37.84
132,192.0,83.0,96.0,42.0,120.0,,Woodstock,CT,,Windham County,town,192.83
133,266.0,66.0,133.0,34.0,192.0,,Middletown,CT,,Middlesex County,town,266.66
134,954.0,82.0,477.0,42.0,907.0,88.0,Windham,CT,,Windham County,town,954.82
135,596.0,93.0,298.0,47.0,161.0,16.0,Woodstock,CT,,Windham County,town,596.93
136,102.0,64.0,51.0,32.0,73.0,90.0,Sharon,CT,,Litchfield County,town,102.64
137,1089.0,73.0,544.0,47.0,288.0,,New Haven,CT,,New Haven County,town,1089.73
138,561.0,2.0,280.0,51.0,151.0,47.0,Stamford,CT,,Fairfield County,town,561.02
139,34.0,88.0,17.0,44.0,25.0,10.0,Stamford,CT,,Fairfield County,town,34.88
140,717.0,60.0,358.0,80.0,273.0,12.0,Stamford,CT,,Fairfield County,town,717.6
141,446.0,29.0,223.0,14.0,122.0,42.0,Stamford,CT,,Fairfield County,town,446.29
142,803.0,70.0,401.0,85.0,523.0,19.0,Stamford,CT,,Fairfield County,town,803.7
143,21.0,32.0,10.0,66.0,15.0,32.0,Stamford,CT,,Fairfield County,town,21.32
144,222.0,16.0,111.0,8.0,147.0,90.0,Stamford,CT,,Fairfield County,town,222.16
145,106.0,61.0,53.0,31.0,76.0,75.0,Stamford,CT,,Fairfield County,town,106.61
146,371.0,88.0,185.0,95.0,270.0,30.0,Stamford,CT,,Fairfield County,town,371.88
147,901.0,34.0,450.0,67.0,245.0,35.0,Lyme,CT,,New London County,town,901.34
148,2426.0,54.0,1213.0,27.0,1234.0,66.0,Stratford,CT,,Fairfield County,town,2426.54
149,78.0,71.0,39.0,35.0,56.0,67.0,Windsor,CT,,Hartford County,town,78.71
150,67.0,70.0,33.0,85.0,57.0,26.0,Windsor,CT,,Hartford County,town,67.7
151,80.0,13.0,40.0,7.0,21.0,63.0,Hartford,CT,,Hartford County,town,80.13
152,320.0,37.0,160.0,18.0,404.0,45.0,Coventry,CT,,Tolland County,town,320.37
153,733.0,33.0,366.0,67.0,614.0,16.0,Windsor,CT,,Hartford County,town,733.33
154,109.0,24.0,54.0,62.0,37.0,56.0,Woodstock,CT,,Windham County,town,109.24
155,258.0,94.0,129.0,48.0,93.0,21.0,Woodstock,CT,Society Treasurer,Windham County,town,258.94
156,20.0,38.0,10.0,19.0,14.0,69.0,Farmington,CT,,Hartford County,town,20.38
157,276.0,90.0,138.0,45.0,148.0,23.0,Woodstock,CT,Proprietors,Windham County,town,276.9
158,116.0,13.0,58.0,7.0,100.0,52.0,Coventry,CT,,Tolland County,town,116.13
159,59.0,76.0,29.0,88.0,16.0,13.0,Coventry,CT,,Tolland County,town,59.76
160,266.0,66.0,133.0,34.0,206.0,60.0,Brooklyn,CT,,Windham County,town,266.66
161,283.0,57.0,141.0,79.0,207.0,88.0,Coventry,CT,,Tolland County,town,283.57
162,1211.0,79.0,605.0,89.0,324.0,,Hartford,CT,,Hartford County,town,1211.79
163,57.0,13.0,28.0,56.0,,,New London,CT,,New London County,town,57.13
164,1018.0,84.0,509.0,43.0,960.0,,Norwich,CT,,New London County,town,1018.84
165,1118.0,94.0,559.0,47.0,376.0,11.0,Windsor,CT,,Hartford County,town,1118.94
166,148.0,45.0,74.0,22.0,367.0,35.0,Hartford,CT,,Hartford County,town,148.45
167,145.0,33.0,72.0,67.0,39.0,23.0,Windsor,CT,,Hartford County,town,145.33
168,30.0,48.0,15.0,24.0,8.0,22.0,State of Vermont,VT,,,state,30.48
