,Last Name,First Name,Position,State,County / Town,Vote,full name 1,name duplication,state-name duplication
717,Bartlett,Bailey,,MA,Haverhill,yes,Bailey Bartlett,False,False
718,Marsh,Nathaniel,,MA,Haverhill,yes,Nathaniel Marsh,False,False
719,Clark,Israel,,MA,Topsfield,yes,Israel Clark,False,False
720,Nyre,Samuel,,MA,Salisbury,yes,Samuel Nyre,False,False
721,Jackman,Enoch,,MA,Salisbury,yes,Enoch Jackman,False,False
722,Lurvey,Benjamin,,MA,Amesbury,yes,Benjamin Lurvey,False,False
723,Patten,Willis,,MA,Amesbury,yes,Willis Patten,False,False
724,Wood,Aaron,,MA,Boxford,no,Aaron Wood,False,False
725,Thruston,Daniel,,MA,Bradford,yes,Daniel Thruston,False,False
726,Carlton,E.,,MA,Methuen,no,E. Carlton,False,False
727,Herrick,Jacob,,MA,Wenham,yes,Jacob Herrick,False,False
728,Miller,Simeon,,MA,Manchester,yes,Simeon Miller,False,False
729,Dana,Francis,,MA,Cambridge,yes,Francis Dana,False,False
730,Dana,Stephen,,MA,Cambridge,yes,Stephen Dana,False,False
731,Gorham,N.,,MA,Charlestown,yes,N. Gorham,False,False
732,Spring,Marshal,,MA,Watertown,no,Marshal Spring,False,False
733,Winn,Timothy,,MA,Woburn,no,Timothy Winn,False,False
734,Hosmer,Joseph,,MA,Concord,yes,Joseph Hosmer,False,False
735,Fuller,A.,,MA,Newtown,yes,A. Fuller,False,False
736,Flint,William,,MA,Reading,no,William Flint,False,False
737,Emerson,Peter,,MA,Reading,no,Peter Emerson,False,False
738,Morse,Jonas,,MA,Marlborough,no,Jonas Morse,False,False
739,Sawin,Benjamin,,MA,Marlborough,no,Benjamin Sawin,False,False
740,Thompson,William,,MA,Billerica,no,William Thompson,True,False
741,Buckminster,L.,,MA,Framingham,yes,L. Buckminster,False,False
742,Browne,Benjamin,,MA,Lerington,yes,Benjamin Browne,False,False
743,Minot,John,,MA,Chelmsford,no,John Minot,False,False
744,Whitney,Daniel,,MA,Sherburne,yes,Daniel Whitney,False,False
745,Wheeler,Asahel,,MA,Sudbury,yes,Asahel Wheeler,False,False
746,Blaney,Benjamin,,MA,Malden,yes,Benjamin Blaney,False,False
747,Bigelow,Abraham,,MA,Weston,yes,Abraham Bigelow,False,False
748,Brooks,John,,MA,Medford,yes,John Brooks,False,False
749,Dench,Gilbert,,MA,Hopkinton,yes,Gilbert Dench,False,False
750,Keep,Jonathan,,MA,Westford,no,Jonathan Keep,False,False
751,Whitman,Charles,,MA,Stow,yes,Charles Whitman,False,False
752,Morse,Benjamin,,MA,Groton,no,Benjamin Morse,False,False
753,Sheple,Joseph,,MA,Groton,no,Joseph Sheple,False,False
754,Sawtell,Obadiah,,MA,Shirley,no,Obadiah Sawtell,False,False
755,Fisk,Daniel,,MA,Pepperell,no,Daniel Fisk,False,False
756,Williams,Leonard,,MA,Waltham,yes,Leonard Williams,False,False
757,Adams,Daniel,,MA,Townsend,no,Daniel Adams,False,False
758,Varnum,Joseph B.,,MA,Dracut,yes,Joseph B. Varnum,False,False
759,Webber,John,,MA,Bedford,no,John Webber,False,False
760,Chamberlain,St.,,MA,Holliston,no,St. Chamberlain,False,False
761,Parlin,A.,,MA,Acton and Carlisle,no,A. Parlin,False,False
762,Pitts,J.,,MA,Dunstable,yes,J. Pitts,False,False
763,Brooks,E.,,MA,Lincoln,yes,E. Brooks,False,False
764,Harnden,J.,,MA,Wilmington,no,J. Harnden,False,False
765,Scarlet,Newman,,MA,Tewksbury,no,Newman Scarlet,False,False
766,Reed,Samuel,,MA,Littleton,no,Samuel Reed,False,False
767,Adams,Benjamin,,MA,Ashby,no,Benjamin Adams,True,False
768,Broad,Hezekiah,,MA,Natick,no,Hezekiah Broad,False,False
769,Green,Jonathan,,MA,Stoneham,no,Jonathan Green,False,False
770,Gleason,Phi.,,MA,East Sudbury,no,Phi. Gleason,False,False
771,Pynchon,William,,MA,Springfield,yes,William Pynchon,False,False
772,Ely,Benjamin,,MA,West Springfield,no,Benjamin Ely,False,False
773,Williston,John,,MA,West Springfield,no,John Williston,False,False
774,Stebbins,Phin.,,MA,Wilbraham,no,Phin. Stebbins,False,False
775,Strong,Caleb,,MA,Northampton and Easthampton,yes,Caleb Strong,False,False
776,Sheldon,Benjamin,,MA,Northampton and Easthampton,yes,Benjamin Sheldon,False,False
777,Pomeroy,L.,,MA,Southampton,yes,L. Pomeroy,False,False
778,Porter,Elisha,,MA,Hadley,yes,Elisha Porter,False,False
779,Goodman,N.,,MA,South Hadley,yes,N. Goodman,False,False
780,Cooly,Daniel,,MA,Amherst,no,Daniel Cooly,False,False
781,Eastman,Benjamin,,MA,Granby,no,Benjamin Eastman,False,False
782,Hastings,J.,,MA,Hatfield,yes,J. Hastings,False,False
783,Allis,Josiah,,MA,Whately,no,Josiah Allis,False,False
784,Bodman,W.,,MA,Williamsburg,no,W. Bodman,False,False
785,Ingersoll,John,,MA,Westfield,yes,John Ingersoll,False,False
786,Field,Samuel,,MA,Deerfield,no,Samuel Field,False,False
787,Bascum,Moses,,MA,Greenfield,no,Moses Bascum,False,False
788,Wilson,Robert,,MA,Shelburne,no,Robert Wilson,False,False
789,Arms,Consider,,MA,Conway,no,Consider Arms,False,False
790,Maynard,Malachi,,MA,Conway,no,Malachi Maynard,False,False
791,Crocker,Z.,,MA,Sunderland,no,Z. Crocker,False,False
792,Severance,M.,,MA,Montague,no,M. Severance,False,False
793,James,Ebenezer,,MA,Northfield,yes,Ebenezer James,False,False
794,Morgan,Abner,,MA,Brimfield,yes,Abner Morgan,False,False
795,Fisk,A.,,MA,South Brimfield,no,A. Fisk,False,False
796,Merrick,Phineas,,MA,Monson,no,Phineas Merrick,False,False
797,Clark,Adam,,MA,Pelham,no,Adam Clark,False,False
798,Whitcomb,N.,,MA,Greenwich,no,N. Whitcomb,False,False
799,Blair,Timothy,,MA,Blandford,no,Timothy Blair,False,False
800,Merrick,Aaron,,MA,Palmer,no,Aaron Merrick,False,False
801,Hamilton,John,,MA,Granville,no,John Hamilton,True,False
802,Cooley,Clark,,MA,Granville,no,Clark Cooley,False,False
803,Chamberlin,J.,,MA,New Salem,no,J. Chamberlin,False,False
804,Dwight,Justus,,MA,Belchertown,no,Justus Dwight,False,False
805,Eddy,Samuel,,MA,Coleraine,no,Samuel Eddy,False,False
806,Pepper,Isaac,,MA,Ware,no,Isaac Pepper,False,False
807,Goldsborough,John,,MA,Warwick and Orange,no,John Goldsborough,False,False
808,Shepard,David,,MA,Chester,yes,David Shepard,False,False
809,Reed,Jesse,,MA,Charlemont,yes,Jesse Reed,False,False
810,Williams,Ephraim,,MA,Ashfield,no,Ephraim Williams,False,False
811,Eager,Nahum,,MA,Worthington,yes,Nahum Eager,False,False
812,Powers,Asa,,MA,Shutesbury,no,Asa Powers,False,False
813,Bonney,Benj.,,MA,Chesterfield,yes,Benj. Bonney,False,False
814,Fowler,Silas,,MA,Southwick,no,Silas Fowler,False,False
815,Doglass,T.J.,,MA,Northwick,yes,T.J. Doglass,False,False
816,Jennings,John,,MA,Ludlow,no,John Jennings,False,False
817,Hubbard,Jonathan,,MA,Leverett,no,Jonathan Hubbard,False,False
818,Fisher,A.,,MA,West Hampton,yes,A. Fisher,False,False
819,Lazell,Edmund,,MA,Cunningham and Plainfield,yes,Edmund Lazell,False,False
820,Maxwell,T.,,MA,Buckland,yes,T. Maxwell,False,False
821,Colton,E.,,MA,Long Meadows,yes,E. Colton,False,False
822,Thomas,Joshua,,MA,Plymouth,yes,Joshua Thomas,False,False
823,Davis,Thomas,,MA,Plymouth,yes,Thomas Davis,False,False
824,Davis,John,,MA,Plymouth,yes,John Davis,True,False
825,Cushing,William,,MA,Scituate,yes,William Cushing,False,False
826,Cushing,Nathan,,MA,Scituate,yes,Nathan Cushing,False,False
827,Turner,Charles,,MA,Scituate,yes,Charles Turner,False,False
828,Shaw,William,,MA,Marshfield,yes,William Shaw,False,False
829,Howard,D.,,MA,Bridgewater,yes,D. Howard,False,False
830,Hooper,Hezekiah,,MA,Bridgewater,yes,Hezekiah Hooper,False,False
831,Mitchell,Elisha,,MA,Bridgewater,yes,Elisha Mitchell,False,False
832,Howard,Daniel,,MA,Bridgewater,yes,Daniel Howard,False,False
833,Backus,Isaac,,MA,Middleboro,yes,Isaac Backus,False,False
834,Thomas,Benjamin,,MA,Middleboro,no,Benjamin Thomas,False,False
835,Thompson,Isaac,,MA,Middleboro,yes,Isaac Thompson,False,False
836,Soule,Isaac,,MA,Middleboro,no,Isaac Soule,False,False
837,Partridge,G.,,MA,Duxbury,yes,G. Partridge,False,False
838,Hammond,N.,,MA,Rochester,no,N. Hammond,False,False
839,Holmes,Abraham,,MA,Rochester,no,Abraham Holmes,False,False
840,Shurtliff,F.,,MA,Plympton,no,F. Shurtliff,False,False
841,Bisbee,Elisha,,MA,Plympton,no,Elisha Bisbee,False,False
842,Turner,John,,MA,Pembroke,yes,John Turner,False,False
843,Smith,Josiah,,MA,Pembroke,yes,Josiah Smith,True,False
844,Sever,W.,,MA,Kingston,yes,W. Sever,False,False
845,Cushing,Joseph,,MA,Hanover,yes,Joseph Cushing,False,False
846,Niles,Samuel,,MA,Abington,yes,Samuel Niles,False,False
847,Waterman,F.,,MA,Halifax,yes,F. Waterman,False,False
848,Fearing,Israel,,MA,Wareham,yes,Israel Fearing,False,False
849,Browne,Shear.,,MA,Barnstable,yes,Shear. Browne,False,False
850,Smith,Thomas,,MA,Sandwich,no,Thomas Smith,True,False
851,Nye,Thomas,,MA,Sandwich,no,Thomas Nye,False,False
852,Thatcher,D.,,MA,Yarmouth,yes,D. Thatcher,False,False
853,Howes,Jonathan,,MA,Yarmouth,yes,Jonathan Howes,False,False
