,,,,,Value,Value
,,,,,sum,count
Joseph Brown,Joseph,Brown,SC,no,4170.879999999999,27
Joseph Douglass,Joseph,Douglass,NC,no,162.25,3
Joseph Graham,Joseph,Graham,NC,no,33.82,1
Joseph Harvey,Joseph,Harvey,NC,yes,125.16999999999999,4
Joseph Heister,Joseph,Heister,PA,no,80.0,1
Joseph Hopkins,Joseph,Hopkins,CT,yes,23.3,1
Joseph Hutchins,Joseph,Hutchins,NH,no,210.23999999999998,4
Joseph Jackson,Joseph,Jackson,MA,yes,517.3,10
Joseph Jones,Joseph,Jones,VA,no,1615.81,23
Joseph Kimball,Joseph,Kimball,NH,yes,242.05,4
Joseph Martin,Joseph,Martin,NC,yes,596.38,12
Joseph Moss White,Joseph Moss,White,CT,yes,1187.8800000000003,22
Joseph Palmer,Joseph,Palmer,MA,yes,247.45,2
Joseph Powell,Joseph,Powell,PA,no,21.55,2
Joseph Richardson,Joseph,Richardson,MD,yes,104.47999999999999,5
Joshua Saxon,Joshua,Saxon,SC,no,10.35,1
Joshua Thomas,Joshua,Thomas,MA,yes,165.7,3
Joshua Whitney,Joshua,Whitney,MA,no,2151.3599999999997,10
Josiah Goddard,Josiah,Goddard,MA,yes,9.63,1
Josiah Smith,Josiah,Smith,MA,yes,5138.240000000001,19
King William,King,William,RI,no,517.75,9
Lemuel Collins,Lemuel,Collins,MA,no,26.27,1
Leonard Williams,Leonard,Williams,MA,yes,198.90000000000003,4
Levi Whitman,Levi,Whitman,MA,yes,217.7,4
Lewis Morris,Lewis,Morris,NY,yes,160.0,1
Luther Martin,Luther,Martin,Constitution,no,60.0,1
Michael Farley,Michael,Farley,MA,yes,73.03,1
Miller Nathan,Miller,Nathan,RI,did not vote,41.38,1
Moses Chamberlain,Moses,Chamberlain,NH,yes,482.41999999999996,5
Moses Cleveland,Moses,Cleveland,CT,yes,33.53,1
Moses Rawlings,Moses,Rawlings,MD,yes,203.3,2
Nathan Cushing,Nathan,Cushing,MA,yes,230.49,2
Nathaniel Bean,Nathaniel,Bean,NH,no,79.51,2
Nathaniel Burwell,Nathaniel,Burwell,VA,yes,3500.0,5
Nathaniel Leonard,Nathaniel,Leonard,MA,yes,1070.43,6
Nathaniel Rogers,Nathaniel,Rogers,NH,yes,1.02,1
Nathaniel Russell,Nathaniel,Russell,SC,yes,70.55,3
Nicholas Breading,Nicholas,Breading,PA,no,85.61,1
Nicholas Gilman,Nicholas,Gilman,Constitution,yes,3305.0099999999998,6
Nichols William,Nichols,William,RI,no,389.80999999999995,9
Pawling Pawling,Pawling,Pawling,VA,no,210.32999999999998,2
Pearce Samuel,Pearce,Samuel,RI,yes,141.12,2
Peter Bennett,Peter,Bennett,NC,no,68.58,1
Peter Fayssoux,Peter,Fayssoux,SC,no,2699.86,3
Peter Smith,Peter,Smith,SC,yes,3326.5499999999997,25
Philip Burr Bradley,Philip Burr,Bradley,CT,yes,240.32,2
Philip Van Cortlandt,Philip,Van Cortlandt,NY,yes,10089.95,12
Potter Samuel J,Potter,Samuel J,RI,no,894.7800000000001,16
Reynolds Joseph,Reynolds,Joseph,RI,no,508.73,9
Rice Thomas,Rice,Thomas,RI,no,594.9399999999999,10
Richard Barnes,Richard,Barnes,MD,yes,153.9,3
Richard Bassett,Richard,Bassett,Constitution,yes,354.15,3
Richard Lewis,Richard,Lewis,NC,yes,475.0,6
Richard Smith,Richard,Smith,DE,yes,969.27,16
Richard Thomas,Richard,Thomas,MD,yes,3928.3099999999995,10
Robert Alexander,Robert,Alexander,VA,no,50.0,1
Robert B. Wilkins,Robert B.,Wilkins,NH,yes,6390.66,18
Robert Daniel,Robert,Daniel,SC,yes,322.26,6
Robert Edwards,Robert,Edwards,NC,no,580.81,9
Robert Morris,Robert,Morris,Constitution,yes,269.23,4
Robert Patton,Robert,Patton,SC,no,4611.0,7
Robert Payne,Robert,Payne,NC,yes,82.78,2
Robert Peebles,Robert,Peebles,NC,no,2261.52,8
Robert R. Livingston,Robert R.,Livingston,NY,yes,540.33,7
Robert Steward,Robert,Steward,NH,no,35.93,2
Robert Williams,Robert,Williams,VA,no,3102.0099999999998,35
Robert Wilson,Robert,Wilson,MA,no,2217.8399999999997,21
Roger Parker Saunders,Roger Parker,Saunders,SC,yes,193.6,3
Samuel  Richardson,Samuel ,Richardson,VA,no,816.53,13
Samuel Adams,Samuel,Adams,MA,yes,8090.45,35
Samuel Baker,Samuel,Baker,MA,yes,1022.29,18
Samuel Beach,Samuel,Beach,CT,yes,1815.18,6
Samuel Chapman,Samuel,Chapman,CT,yes,808.44,10
Samuel Chase,Samuel,Chase,MD,no,250.28,5
Samuel Denny,Samuel,Denny,MA,no,20.6,1
Samuel Earle,Samuel,Earle,SC,yes,64.24,1
Samuel Eddy,Samuel,Eddy,MA,no,201.99,6
Samuel Edmison,Samuel,Edmison,VA,no,2310.0,3
Samuel Evans,Samuel,Evans,MD,yes,542.1400000000001,9
Samuel Grant,Samuel,Grant,MA,yes,426.54,7
Samuel H. Parsons,Samuel H.,Parsons,CT,yes,10840.639999999998,14
Samuel Hale,Samuel,Hale,NH,yes,353.8,1
Samuel Hay,Samuel,Hay,NJ,yes,3808.5699999999997,6
"Samuel Hopkins, Jun.",Samuel,"Hopkins, Jun.",VA,no,4221.04,4
