,,,,,Dollars,Dollars,90th,90th
,,,,,sum,count,sum,count
Joseph Hosmer,Joseph,Hosmer,MA,yes,1.0,1,22.0,1
Joseph Jackson,Joseph,Jackson,MA,yes,554.0,4,91.0,2
Joseph Jones,Joseph,Jones,VA,no,570.0,5,168.0,3
Joseph Martin,Joseph,Martin,NC,yes,8.0,1,0,0
Joseph Mosely,Joseph,Mosely,CT,yes,10.0,1,0,0
Joseph Moss White,Joseph Moss,White,CT,yes,108.0,3,68,2
Joseph Palmer,Joseph,Palmer,MA,yes,211.0,2,22.0,1
Joseph Stone,Joseph,Stone,MA,no,5.0,1,0,0
Joseph Wood,Joseph,Wood,MA,yes,220.0,5,200.0,4
Joshua Whitney,Joshua,Whitney,MA,no,105.0,2,7.0,1
King William,King,William,RI,no,88.0,3,86.0,2
Ladd William,Ladd,William,RI,yes,1.0,1,22.0,1
Lewis Morris,Lewis,Morris,NY,yes,58.0,2,96.0,2
Luther Martin,Luther,Martin,Constitution,no,24.0,1,27.0,1
Manchester Isaac,Manchester,Isaac,RI,yes,34.0,1,59.0,2
Matthew Patterson,Matthew,Patterson,CT,no,117.0,2,104,2
Melancton Smith,Melancton,Smith,NY,yes,968.0,2,102,2
Michael Jenifer Stone,Michael Jenifer,Stone,MD,yes,27.0,1,14.0,1
Miller Nathan,Miller,Nathan,RI,did not vote,1136.0,8,252,4
Moses Davis,Moses,Davis,MA,yes,738.0,2,103.0,2
Nathan Hale,Nathan,Hale,CT,yes,110.0,1,0,0
Nicholas Lutz,Nicholas,Lutz,PA,no,72.0,2,11.0,1
Nichols William,Nichols,William,RI,no,7.0,1,6.0,1
Pearce Samuel,Pearce,Samuel,RI,yes,4.0,1,20.0,1
Peter Lefferts,Peter,Lefferts,NY,yes,514.0,2,93.0,2
Peter Smith,Peter,Smith,SC,yes,223.0,6,286.0,5
Peter Van Ness,Peter,Van Ness,NY,no,2010.0,1,45,1
Peter Vandevoort,Peter,Vandevoort,NY,yes,38.0,1,67.0,1
Peter Vrooman,Peter,Vrooman,NY,did not vote,197.0,5,170,3
Philip Van Cortlandt,Philip,Van Cortlandt,NY,yes,850.0,1,0,0
Potter Samuel J,Potter,Samuel J,RI,no,129.0,3,67.0,2
Reynolds Joseph,Reynolds,Joseph,RI,no,254.0,3,57.0,2
Richard Barnes,Richard,Barnes,MD,yes,21.0,1,50,1
Richard Lewis,Richard,Lewis,NC,yes,230.0,3,75.0,2
Richard Manning,Richard,Manning,MA,yes,20.0,1,0,0
Richard Potts,Richard,Potts,MD,yes,59.0,1,68.0,1
