,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
Samuel Canfield,Samuel,Canfield,CT,yes,,,,,13.0,1.0,68.0,1.0,,,,,,
Daniel Cannon,Daniel,Cannon,SC,yes,,,,,0.0,0.0,0,0.0,,,,,,
John Cantine,John,Cantine,NY,no,,,,,32.0,2.0,67,2.0,,,,,,
E. Carlton,E.,Carlton,MA,no,,,,,,,,,,,,,,
Stephen Carman,Stephen,Carman,NY,yes,,,,,,,,,,,,,,
J. Carnes,J.,Carnes,MA,yes,,,,,,,,,,,,,,
Elisha Carpenter,Elisha,Carpenter,MA,yes,,,,,1.0,1.0,89.0,1.0,,,,,,
Ephraim Carpenter,Ephraim,Carpenter,CT,no,,,,,201.0,2.0,77.0,1.0,,,,,,
Moses Carr,Moses,Carr,NH,yes,300.0,1.0,18.27778,1.0,,,,,,,,,,
James Carr,James,Carr,MA,no,500.0,1.0,30.46667,1.0,,,,,,,,,4161.960000000001,13.0
George Carrington,George,Carrington,VA,no,1200.0,2.0,119.23333,2.0,,,,,,,,,2321.2200000000003,4.0
Paul Carrington,Paul,Carrington,VA,yes,,,,,,,,,,,,,,
Nicholas Carroll,Nicholas,Carroll,MD,yes,,,,,,,,,,,,,,
Daniel Carroll,Daniel,Carroll,Constitution,yes,,,,,,,,,,,,,,
John Carson,John,Carson,NC,yes,,,,,1283.0,6.0,202.0,6.0,,,,,846.1899999999999,9.0
Landon Carter,Landon,Carter,NC,yes,,,,,,,,,,,,,,
Thomas Carter,Thomas,Carter,VA,No,,,,,,,,,,,,,68.69,1.0
John Caruth,John,Caruth,NC,yes,,,,,,,,,,,,,,
Samuel Carver,Samuel,Carver,CT,yes,4000.0,9.0,137.27778999999998,9.0,,,,,,,,,,
Richard Cary,Richard,Cary,VA,no,7400.0,21.0,1586.4069619999998,21.0,,,,,,,,,,
