,,,,,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
Clark John I,Clark,John I,RI,yes,238.0,1,75.0,1,119.0,1,37.0,1,179.0,1,5.0,1
William Johnson,William,Johnson,SC,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
William Johnson,William,Johnson,NC,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
William Samuel Johnson,William Samuel,Johnson,Constitution,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
William Samuel Johnson,William Samuel,Johnson,CT,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
John Johnston,John,Johnston,NC,yes,0.0,0,0.0,0,301.0,1,46.0,1,450.0,1,68.0,1
William Johnston,William,Johnston,NC,yes,1205.0,1,0.43000000000006366,1,602.0,1,0.7100000000000364,1,904.0,1,0.07000000000005002,1
Thomas Jones,Thomas,Jones,MA,yes,5098.0,3,2.349999999999909,3,2548.0,3,2.159999999999968,3,3824.0,3,1.2500000000001137,3
John Coffin Jones,John Coffin,Jones,MA,yes,0.0,0,0.0,0,33.0,1,37.0,1,50.0,1,5.0,1
Samuel Jones,Samuel,Jones,NY,yes,0.0,0,0.0,0,92.0,1,1.0,1,138.0,1,2.0,1
Thomas Jones,Thomas,Jones,SC,yes,5098.0,3,2.349999999999909,3,2548.0,3,2.159999999999968,3,3824.0,3,1.2500000000001137,3
John Jones,John,Jones,VA,no,61.0,1,4037.67,1,61.0,1,2018.83,1,61.0,1,3028.25,1
John Jones,John,Jones,DE,yes,61.0,1,4037.67,1,61.0,1,2018.83,1,61.0,1,3028.25,1
Joseph Jones,Joseph,Jones,VA,no,17.0,1,9.0,1,8.0,1,54.0,1,12.0,1,81.0,1
John Kean,John,Kean,SC,yes,1044.0,1,0.1999999999998181,1,522.0,1,0.09999999999990905,1,783.0,1,0.14999999999986358,1
William Kennedy,William,Kennedy,SC,no,0.0,0,0.0,0,85.0,1,55.0,1,0.0,0,0.0,0
Rufus King,Rufus,King,MA,yes,3276.0,4,0.0,2,2712.0,4,200.0,4,2876.0,4,268.0,4
Rufus King,Rufus,King,Constitution,yes,3276.0,4,0.0,2,2712.0,4,200.0,4,2876.0,4,268.0,4
James Knox,James,Knox,SC,no,251.0,1,58.0,1,125.0,1,79.0,1,188.0,1,68.0,1
John Langdon,John,Langdon,Constitution,yes,12641.0,28,925.0,28,6311.0,28,1422.0,28,9487.25,28,45.0,1
John Langdon,John,Langdon,NH,yes,12641.0,28,925.0,28,6311.0,28,1422.0,28,9487.25,28,45.0,1
Henry Laurens,Henry,Laurens,SC,yes,35457.0,4,0.720000000001022,4,17728.0,4,0.8400000000001882,4,26591.0,4,2.249999999999602,4
Richard Law,Richard,Law,CT,yes,67.0,1,87.0,1,33.0,1,94.0,1,50.0,1,91.0,1
Henry Lee,Henry,Lee,VA,no,197.0,1,40.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Thomas Sim Lee,Thomas Sim,Lee,MD,yes,948.0,2,51.0,2,473.0,2,125.0,2,711.0,2,38.0,2
Henry Lee III,Henry,Lee III,VA,yes,197.0,1,40.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Joseph Leech,Joseph,Leech,NC,yes,85.0,1,6.0,1,42.0,1,53.0,1,63.0,1,80.0,1
Nathaniel Leonard,Nathaniel,Leonard,MA,yes,0.0,0,0.0,0,964.0,1,66.0,1,1446.0,1,97.0,1
Warner Lewis,Warner,Lewis,VA,yes,2068.0,1,17.0,1,1034.0,1,9.0,1,1551.0,1,14.0,1
Edward Lightwood,Edward,Lightwood,SC,yes,790.0,1,0.01999999999998181,1,395.0,1,0.0,1,592.0,1,0.5099999999999909,1
John Carter Littlepage,John Carter,Littlepage,VA,no,6.0,1,86.0,1,3.0,1,43.0,1,5.0,1,14.0,1
Robert R. Livingston,Robert R.,Livingston,NY,yes,586.0,2,76.0,2,0.0,0,0.0,0,3910.0,2,60.0,2
Philip Livingston,Philip,Livingston,NY,yes,213784.0,8,128.0,8,35292.0,8,64.0,8,50336.0,8,296.0,8
John Lloyd,John,Lloyd,SC,yes,1750.0,1,0.7300000000000182,1,875.0,1,0.36000000000001364,1,1313.0,1,0.03999999999996362,1
Nicholas Low,Nicholas,Low,NY,yes,3924975.0,842,62161.62666666666,842,2914963.0,842,36121.31333333333,842,3790171.0,842,37941.47,842
John Low,John,Low,MA,yes,1509.0,2,130.0,2,754.0,2,114.0,2,1131.0,2,170.0,2
Gabriel Manigault,Gabriel,Manigault,SC,yes,16271.0,1,0.5,1,26959.0,9,688.7399999999998,9,36609.0,9,124.6200000000008,9
John Marshall,John,Marshall,VA,yes,3174.0,1,33.0,1,1587.0,1,16.0,1,2380.0,1,75.0,1
James Martin,James,Martin,SC,no,6275.0,2,36.0,2,0.0,0,0.0,0,0.0,0,0.0,0
James Martin,James,Martin,MD,yes,6275.0,2,36.0,2,0.0,0,0.0,0,0.0,0,0.0,0
Joseph Martin,Joseph,Martin,NC,yes,920.0,1,18.0,1,460.0,1,9.0,1,690.0,1,13.0,1
James Martin,James,Martin,PA,no,6275.0,2,36.0,2,0.0,0,0.0,0,0.0,0,0.0,0
William Mason,William,Mason,VA,yes,2440.0,8,616.0,8,1220.0,8,712.0,8,1836.0,8,468.0,8
George Matthews,George,Matthews,GA,yes,5189.0,1,27.0,1,2594.0,1,64.0,1,3891.0,1,96.0,1
James Maxwell,James,Maxwell,GA,yes,1783.0,1,99.0,1,891.0,1,99.0,1,1337.0,1,99.0,1
James McClurg,James,McClurg,Constitution,no,11919.0,1,78.0,1,5959.0,1,89.0,1,8939.0,1,84.0,1
John McPherson,John,McPherson,SC,yes,109.0,2,94.22,2,54.0,2,48.6,2,81.0,2,71.9,2
John F. Mercer,John F.,Mercer,Constitution,no,0.0,0,0.0,0,0.0,0,0.0,0,6144.0,1,68.0,1
Elisha Mills,Elisha,Mills,CT,yes,32016.0,64,5392.0,64,16000.0,64,3520.0,64,24016.0,64,3664.0,64
William Moore,William,Moore,DE,yes,2726.0,1,99.0,1,1363.0,1,50.0,1,2045.0,1,93.0,1
William Morris,William,Morris,MD,yes,2165.0,1,27.0,1,1082.0,1,64.0,1,1623.0,1,96.0,1
