,town,state,county,name_type
3061,Philadelphila,PA,,other
3069,New Castle County Delaware State,DE,New Castle County,county
3075,Somerset County Maryland,MD,Somerset County,county
3094,Berks County,PA,,other
3098,York County,PA,,other
3138,Northumberland County Virginia,VA,Northumberland County,county
3171,Newton Township New Jersey,NJ,Sussex County,town
3199,Paxton Tot Dauphin County,PA,,other
3208,Delaware County,DE,,state
3213,Cape May,NJ,Cape May County,town
3235,Bedford County,PA,,other
3255,Somerset County New Jersey,NJ,Somerset County,county
3273,York Town,PA,,other
3287,Little Compton,RI,Newport County,town
3288,Warren,RI,Bristol County,town
3289,East Greenwich,RI,Kent County,town
3290,Johnston,RI,Providence County,town
3291,Scituate,RI,Providence County,town
3294,Coventry,RI,Kent County,town
3296,Rehoboth,MA,Bristol County,town
3298,Newport,RI,Newport County,town
3302,Dighton,MA,Bristol County,town
3303,Cumberland,RI,Providence County,town
3305,South Kingston,RI,Washington County,town
3306,North Hampton,MA,Hampshire County,town
3308,Littleton,MA,Middlesex County,town
3309,Sutton,MA,Worcester County,town
3313,Gloucester,RI,Providence County,town
3314,Ludlow,MA,Hampshire County,town
3315,North Providence,RI,Providence County,town
3325,Foster,RI,Providence County,town
3326,Warwick,RI,Kent County,town
3330,Liecester,MA,Worcester County,town
3333,Bristol,RI,Bristol County,town
3351,Smithfield,RI,Providence County,town
3359,Newport in New Hampshire,NH,Cheshire County,town
3366,,RI,,state
3375,Barrington,RI,Bristol County,town
3391,Somerset,MA,Bristol County,town
3404,Cranston,RI,Providence County,town
3413,Charlestown,RI,Washington County,town
3427,Grafton Massachusetts,MA,Worcester County,town
3437,Swansea,MA,Bristol County,town
3439,West Greenwich,RI,Kent County,town
3468,Bridgewater,MA,Plymouth County,town
3469,South Kingstone,RI,Washington County,town
3476,Attleborough,MA,Bristol County,town
3477,Johnson,RI,Providence County,town
3482,Portsmouth,RI,Newport County,town
3497,North Kingston,RI,Washington County,town
3500,Exeter,RI,Washington County,town
3503,Richmond,RI,Washington County,town
3510,Tiverton,RI,Newport County,town
3557,Falmouth Massachusetts,MA,Barnstable County,town
3560,Dudley,MA,Worcester County,town
3611,Springfield,RI,,other
3646,Westport,MA,Bristol County,town
3659,Chesterfield Massachusetts,MA,Hampshire County,town
3719,Freetown,MA,Bristol County,town
3722,North Kingstone,RI,Washington County,town
3729,Norton,MA,Bristol County,town
3749,North Kingstown,RI,Washington County,town
3754,Stoughton now of Providence,RI,Providence County,town
3774,Alexandria,NH,Grafton County,town
3786,Smithfeild,RI,Providence County,town
3958,James Island,SC,Charleston County,town
3974,Bermuda,BM,,other
3988,Georgetown,SC,Georgetown County,town
3999,Camden Planter,SC,Lancaster County,town
4019,Virginia and Philadelphia,VA,,state
4037,St. Paul's,SC,Clarendon County,town
4041,Williamsburgh,VA,Greenbrier County,town
4043,Pee Dee,SC,Georgetown County,town
4044,St Helena,SC,Beaufort County,town
4053,Register of the Treasury,US,,other
4083,,FR,,other
4095,,SC,,state
4099,St. George,SC,Charleston County,town
4100,Camden,SC,Lancaster County,town
4104,St. Thomas,VI,,other
4109,New River,SC,Beaufort County,town
4119,St Johns,SC,Charleston County,town
4125,Winyaw,SC,Georgetown County,town
4132,Broad River,SC,Beaufort County,town
4144,Columbia,SC,Richland County,town
4147,St Thomas,BVI,,other
4152,St Andrews,SC,Richland County,town
4153,Great Britain,GB,,other
4187,Richard Sennings,SC,,other
4197,96 District,SC,Abbeville County,town
4204,Edinburgh,GB,,other
4210,Abbeville,SC,Abbeville County,town
4219,Long Cames,SC,,other
4222,Toogoodoo,SC,Charleston County,town
4249,Bourdeaux,FR,,other
4272,The River May,VI,,other
4288,St Pauls,SC,Clarendon County,town
4318,Ninety six District,SC,Laurens County,town
4321,Richard County,SC,Richland County,county
4351,Dorchester,SC,Charleston County,town
