,First Name,Last Name,Search Town,Search County,Search State,Name,"Home in 1790 (City, County, State)",index_new,valid
1264,Mary,Cash,,,PA,Mary Cash,"Marblehead, Essex, Massachusetts",2139,0
1300,Henry,Chapman,,,NY,Henry Chapman,"Water Street East Side, Philadelphia, Pennsylvania",2204,0
1336,William,Mackenzie,,,PA,Willm McKinzie,"Crown Point, Clinton, New York",2257,0
1368,Jebediah,Swan,,,NJ,Obed Swain,"Sherburn, Nantucket, Massachusetts",2323,0
1385,Agnes Ann,Davidson,,,PA,Agness Davidson,"North Millford, Cecil, Maryland",2352,0
1386,Agness Ann,Davidson,,,PA,Agness Davidson,"North Millford, Cecil, Maryland",2352,0
1598,Samuel,Atherton,,,RI,Samuel Atherton,"Attleborough, Bristol, Massachusetts",2703,0
1758,Edmund,Fowle,,,RI,Edmund Fowl,"Watertown, Middlesex, Massachusetts",2945,0
1767,Ruth,Vial,,,RI,Ruth Vial,"Rehoboth, Bristol, Massachusetts",2963,0
1773,Philip,Peckham,,,RI,Philip Peckham | Philip Perham,"Randolph, Orange, Vermont",2971,0
1776,Ebenezer,Upham,,,RI,Ebenezer Upham,"Leicester, Worcester, Massachusetts",2981,0
1781,Obadiah,Sprague,,,RI,Ebed Sprague,"Boston, Suffolk, Massachusetts",2985,0
1786,Nathaniel,Barney,,,RI,Nathaniel Barney,"Rehoboth, Bristol, Massachusetts",2997,0
1791,Sarah,Ward,,,RI,Sarah Ward,"Newton, Middlesex, Massachusetts",3009,0
1797,Dr William,Handy,,,RI,William Handy,"Granville, Hampshire, Massachusetts",3019,0
1798,William,Handy,,,RI,William Handy,"Granville, Hampshire, Massachusetts",3019,0
1852,andrew,Craigie,,,NY,Andrew Crage | Andrew Grage,"Eastern River Township 2, Hancock, Maine",3121,0
1874,John,Motley,,,NY,Johial Mottbey | John Mottley,"Litchfield, Litchfield, Connecticut",3175,0
1876,Horace,Johnson,,,NY,Israel H Johnson,"Baltimore Town, Baltimore, Maryland",3177,0
1883,Alexander,Fowler,,,NY,Alexander Fowler,"Pittsburgh, Allegheny, Pennsylvania",3184,0
1923,Joseph,Vesey,,,SC,Joseph Veasey,"St Phillips and St Michaels, Charleston, South Carolina
									
										[St Phillips and St Michaels Charleston South Carolina]",3262,1
548,James,Somervell,,Prince Georges County,MD,James Sommerville,"Baltimore Town, Baltimore, Maryland",862,0
558,John,Walkins,,Anne Arundel County,MD,John Walkins,"Baltimore Town, Baltimore, Maryland",875,0
575,Michael J,Stone,,Charles County,MD,Michel Stowe | Michel Stone,"Lynn, Northampton, Pennsylvania",913,0
576,Mitchel J,Stone,,Charles County,MD,Michel Stowe | Michel Stone,"Lynn, Northampton, Pennsylvania",913,0
586,Joshua,Owens,,Baltimore County,MD,Griffith (Watch Maker) Owen | Griffith Owen,"Water Street East Side, Philadelphia, Pennsylvania",943,0
615,Iq,Smith,,Montgomery County,MD,Yost I Smith | Yost J Smith,"Plainfield, Northampton, Pennsylvania",976,0
639,Robert,Harrison,,Dorchester County,MD,Robert Harrison,"Unknown Township, St Marys, Maryland",1019,0
686,Eliza,Caile,,Dorchester County,MD,Elizabeth Cale,"Northern Liberties, Philadelphia, Pennsylvania",1090,0
687,Elizabeth,Caile,,Dorchester County,MD,Elizabeth Cale,"Northern Liberties, Philadelphia, Pennsylvania",1090,0
698,David,Lynn,,Montgomery County,MD,David Lynn,"Baltimore Town, Baltimore, Maryland",1109,0
714,Samuel,John,,Prince Georges County,MD,Samuel John,"Fannet, Hamilton, Letterkenney, Montgomery, and Peters, Franklin, Pennsylvania",1139,0
716,Alexander Lawson,Smith,,Harford County,MD,Alexr Smith,"Chanceford, York, Pennsylvania",1141,0
722,Robert,Whitaker,,Prince Georges County,MD,Robert Whitaker,"Baltimore Town, Baltimore, Maryland",1147,0
727,William,Lodge,,Montgomery County,MD,John & Wm Lodge | John Lodge,"Kingsessing Town, Philadelphia, Pennsylvania",1159,0
763,George William,West,,Anne Arundel County,MD,William West,"Baltimore Town, Baltimore, Maryland",1230,0
934,Joseph,Boggs,,New Castle County,DE,Joseph Boggs,"Tredifferin, Chester, Pennsylvania",1532,0
1153,William Montgomery,Sterrett,,Allegheny County,PA,Willm Staret| William Starrett,"South Huntington, Westmoreland, Pennsylvania",1946,0
1162,Christian,Ruth,,Berks County,PA,Christian (Labr) Ratt | Christian Ratt,"Water Street East Side, Philadelphia, Pennsylvania",1969,0
1184,Francis,Baird,,Bucks County,PA,Francis Beard,"Mixed Township, York, Pennsylvania",2010,0
1226,David,Chambers,,Ohio County,VA,David Chambers,"Water Street East Side, Philadelphia, Pennsylvania",2088,0
1231,Robert,Collman,,Montgomery County,PA,Robert Coleman,"Elizabeth, Lancaster, Pennsylvania",2101,0
1308,andrew Mc,Farlane,,Westmoreland County,PA,Willm McFarland | Willm M Farland,"Salem, Washington, New York",2214,0
1319,William,Hendle,,Lancaster County,PA,A. (Widw) Kendall | Willm A Hendall,"Woburn, Middlesex, Massachusetts",2237,0
1358,John,Mcgarvey,,Bucks County,PA,John McGarvey,"Northern Liberties, Philadelphia, Pennsylvania",2302,0
1377,David,Huchinson,,Chester County,PA,David Hutcheson,"North Huntington, Westmoreland, Pennsylvania",2339,0
1378,David,Hutchinson,,Chester County,PA,David Hutcheson,"North Huntington, Westmoreland, Pennsylvania",2339,0
1383,Trustees Of Prebn Church Abarwick Bucks,County,,Bucks County,PA,Goale (Jail) of Ye County,"Lancaster Borough, Lancaster, Pennsylvania",2350,0
1384,Trustees Of The Presbyterian,Church,,Bucks County,PA,Ira Clancey Church | Tea Clancy Church,"Cambridge, Albany, New York",2351,0
1391,Gunning,Bedford,,New Castle County,DE,"Gunning, Esqr Bedford | Gunning Bedford","Water Street East Side, Philadelphia, Pennsylvania",2373,0
