,town,state,new_town,county,new_state,country,name_type
359,Westmoreland County Pennsylvania,PA,,Westmoreland County,PA,US,county
360,Franklin County Pennsylvania,PA,,Franklin County,PA,US,county
361,Wilmington Delaware,DE,,New Castle County,DE,US,county
362,Montgomery County Pennsylvania,PA,,Montgomery County,PA,US,county
363,Burlington New Jersey,NJ,Burlington,Burlington County,NJ,US,town
364,Northumberland County Pennsylvania,PA,,Northumberland County,PA,US,county
365,Sunbury Pennsylvania,PA,Sunbury,Northumberland County,PA,US,town
366,Church on Philadelphia,PA,Philadelphia,Philadelphia County,PA,US,town
367,James City County Virginia,VA,,James City County,VA,US,county
368,Pittsburgh,PA,Pittsburgh,Allegheny County,PA,US,town
369,Newark,,Newark,Essex County,NJ,US,town
370,Monmouth County New Jersey,NJ,,Monmouth County,NJ,US,county
371,Philadelphila,PA,Philadelphia,Philadelphia County,PA,US,town
372,New Castle County Delaware State,DE,,New Castle County,DE,US,county
373,Somerset County Maryland,MD,,Somerset County,MD,US,county
374,York County,PA,,York County,PA,US,county
375,Northumberland County Virginia,PA,,Northumberland County,VA,US,county
376,Newton Township New Jersey,NJ,Newton,Sussex County,NJ,US,town
377,Paxton Tot Dauphin County,PA,Middle Paxton Township,Dauphin County,PA,US,town
378,Delaware County,PA,,Delaware County,PA,US,county
379,Cape May,NJ,Cape May,Cape May County,NJ,US,town
380,Bedford County,PA,,Bedford County,PA,US,county
381,Somerset County New Jersey,NJ,,Somerset County,NJ,US,county
382,York Town,PA,York,York County,PA,US,town
383,Little Compton,RI,Little Compton,Kent County,RI,US,town
384,Warren,RI,Warren,Bristol County,RI,US,town
385,East Greenwich,RI,East Greenwich,Kent County,RI,US,town
386,Johnston,RI,Johnston,Providence County,RI,US,town
387,Scituate,RI,North Scituate,Providence County,RI,US,town
388,Coventry,RI,Coventry,Kent County,RI,US,town
389,Rehoboth,MA,Rehoboth,Bristol County,MA,US,town
390,Newport,RI,Newport,Newport County,RI,US,town
391,Dighton,MA,Dighton,Bristol County,MA,US,town
392,Cumberland,RI,Cumberland,Providence County,RI,US,town
393,South Kingston,RI,Kingston,Washington County,RI,US,town
394,North Hampton,MA,Northampton,Hampshire County,MA,US,town
395,Littleton,MA,Littleton,Middlesex County,MA,US,town
396,Sutton,MA,Sutton,Worcester County,MA,US,town
397,Gloucester,RI,Gloucester,Providence County,RI,US,town
398,Ludlow,MA,Ludlow,Hampden County,MA,US,town
399,North Providence,RI,North Providence,Providence County,RI,US,town
400,Foster,RI,Foster,Providence County,RI,US,town
401,Warwick,RI,Warwick,Kent County,RI,US,town
402,Liecester,MA,Leicester,Worcester County,MA,US,town
403,Bristol,RI,Bristol,Bristol County,RI,US,town
404,Smithfield,RI,Smithfield,Providence County,RI,US,town
405,,RI,,,RI,US,state
406,Newport in New Hampshire,NH,Newport,Sullivan County,NH,US,town
407,Barrington,RI,Barrington,Bristol County,RI,US,town
408,Somerset,MA,Somerset,Bristol County,MA,US,town
409,Cranston,RI,Cranston,Providence County,RI,US,town
410,Charlestown,RI,Charlestown,Washington County,RI,US,town
411,Grafton Massachusetts,MA,Grafton,Worcester County,MA,US,town
412,Swansea,MA,Swansea,Bristol County,MA,US,town
413,West Greenwich,RI,West Greenwich,Kent County,RI,US,town
414,Bridgewater,MA,Bridgewater,Plymouth County,MA,US,town
415,South Kingstone,RI,Kingston,Washington County,RI,US,town
416,Attleborough,MA,Attleboro,Bristol County,MA,US,town
417,Johnson,RI,Johnston,Providence County,RI,US,town
418,Portsmouth,RI,Portsmouth,Newport County,RI,US,town
419,North Kingston,RI,North Kingstown,Washington County,RI,US,town
420,Exeter,RI,Exeter,Washington County,RI,US,town
421,Richmond,RI,Richmond,Washington County,RI,US,town
422,Tiverton,RI,Tiverton,Newport County,RI,US,town
